rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp

1,David Johnson,ARI,RB1,8,1,2,1.2,0.4,1.0,0.0
2,Le'Veon Bell,PIT,RB2,9,1,2,1.8,0.4,2.0,0.0
3,Antonio Brown,PIT,WR1,9,3,5,3.1,0.4,3.0,0.0
4,Julio Jones,ATL,WR2,5,3,13,5.3,2.1,4.0,0.0
5,Odell Beckham Jr.,NYG,WR3,8,4,11,6.0,1.3,5.0,0.0
6,LeSean McCoy,BUF,RB3,6,3,20,6.4,3.0,6.0,0.0
7,Melvin Gordon,LAC,RB4,9,3,15,7.9,2.6,9.0,+2.0
8,Devonta Freeman,ATL,RB5,5,4,20,9.3,2.7,10.0,+2.0
9,A.J. Green,CIN,WR4,6,4,22,9.4,3.0,8.0,-1.0
10,Mike Evans,TB,WR5,11,4,16,9.5,2.8,7.0,-3.0
11,Jordy Nelson,GB,WR6,8,5,17,10.9,2.9,11.0,0.0
12,Jay Ajayi,MIA,RB6,11,4,32,12.3,4.0,15.0,+3.0
13,DeMarco Murray,TEN,RB7,8,8,36,13.5,4.4,13.0,0.0
14,Jordan Howard,CHI,RB8,9,7,25,14.2,3.7,14.0,0.0
15,Michael Thomas,NO,WR7,5,8,151,16.7,20.4,12.0,-3.0
16,Dez Bryant,DAL,WR8,6,12,33,18.5,3.9,16.0,0.0
17,Todd Gurley,LAR,RB9,8,9,40,19.6,5.6,19.0,+2.0
18,Doug Baldwin,SEA,WR9,6,13,53,20.3,5.9,22.0,+4.0
19,Amari Cooper,OAK,WR10,10,13,54,21.1,6.4,18.0,-1.0
20,T.Y. Hilton,IND,WR11,11,13,46,23.1,7.4,23.0,+3.0
21,Brandin Cooks,NE,WR12,9,12,74,23.6,10.8,21.0,0.0
22,Rob Gronkowski,NE,TE1,9,15,91,25.4,13.6,20.0,-2.0
23,Isaiah Crowell,CLE,RB10,9,15,58,27.2,7.9,34.0,+11.0
24,Leonard Fournette,JAC,RB11,8,14,52,27.4,8.2,25.0,+1.0
