,name,team,position,passing_cmp,passing_att,passing_yds,passing_tds,passing_ints,rushing_att,rushing_yds,rushing_tds,receiving_rec,receiving_yds,receiving_tds,fantasy_points_bro
1,Greg Olsen,Car,TE,0,0,0,0,0,0,0,0,80.1,1063.9,6.4,225.5
2,Rob Gronkowski,NE,TE,0,0,0,0,0,0,0,0,67.1,1023.5,9.1,224.2
3,Travis Kelce,KC,TE,0,0,0,0,0,0,0,0,83.6,1038.4,4.7,215.4
4,Jordan Reed,Wsh,TE,0,0,0,0,0,0,0,0,83.8,925,6.3,213.2
5,Kyle Rudolph,Min,TE,0,0,0,0,0,0,0,0,76.3,740.9,6.6,190.6
6,Jimmy Graham,Sea,TE,0,0,0,0,0,0,0,0,61.5,768.9,6.9,178.5
7,Zach Ertz,Phi,TE,0,0,0,0,0,0,0,0,74,771.6,4.4,178.1
8,Delanie Walker,Ten,TE,0,0,0,0,0,0,0,0,60.2,705,5.7,164.4
9,Jason Witten,Dal,TE,0,0,0,0,0,0,0,0,65.8,666.4,4.7,160.2
10,Eric Ebron,Det,TE,0,0,0,0,0,0,0,0,62.5,700,4,155.3
11,Martellus Bennett,GB,TE,0,0,0,0,0,0,0,0,58.9,609.6,5.9,154.8
12,Tyler Eifert,Cin,TE,0,0,0,0,0,0,0,0,57.2,620.1,5.2,150.2
13,Jack Doyle,Ind,TE,0,0,0,0,0,0,0,0,58.6,567.2,5.7,148.8
14,Hunter Henry,LAC,TE,0,0,0,0,0,0,0,0,50.8,596.4,6.2,147.3
15,Austin Hooper,Atl,TE,0,0,0,0,0,0,0,0,48.1,570.1,5.9,141.3
16,Coby Fleener,NO,TE,0,0,0,0,0,0,0,0,47.6,569.3,5.9,139.1
17,C.J. Fiedorowicz,Hou,TE,0,0,0,0,0,0,0,0,54.6,598.3,3.9,136.6
18,Cameron Brate,TB,TE,0,0,0,0,0,0,0,0,50.8,550.7,5,136.4
19,Jared Cook,Oak,TE,0,0,0,0,0,0,0,0,47.7,600.9,4.5,134.6
20,Evan Engram,NYG,TE,0,0,0,0,0,0,0,0,51,556.6,4.2,131.2
21,Charles Clay,Buf,TE,0,0,0,0,0,0,0,0,52.2,571,3.4,130.5
22,Julius Thomas,Mia,TE,0,0,0,0,0,0,0,0,44.1,441.7,5.6,121.3
23,Antonio Gates,LAC,TE,0,0,0,0,0,0,0,0,42.7,485,4.9,120.4
24,Austin Seferian-Jenkins,NYJ,TE,0,0,0,0,0,0,0,0,44.9,524.4,3.3,116.4
25,Jesse James,Pit,TE,0,0,0,0,0,0,0,0,42.2,441.4,3.8,109.7
26,O.J. Howard,TB,TE,0,0,0,0,0,0,0,0,42.4,434,3.9,109.3
27,Tyler Higbee,LAR,TE,0,0,0,0,0,0,0,0,43.1,416.4,3.2,103.4
28,David Njoku,Cle,TE,0,0,0,0,0,0,0,0,41.6,443.6,2.6,101
29,Jermaine Gresham,Ari,TE,0,0,0,0,0,0,0,0,41.4,424.7,2.9,99.9
30,Nick Boyle,Bal,TE,0,0,0,0,0,0,0,0,41.9,372.4,1.9,90.4
31,Erik Swoope,Ind,TE,0,0,0,0,0,0,0,0,30.4,421,2.9,90.3
32,Adam Shaheen,Chi,TE,0,0,0,0,0,0,0,0,29.7,291,2.4,73.4
33,Ryan Griffin,Hou,TE,0,0,0,0,0,0,0,0,29.4,327.1,1.6,71
34,Vernon Davis,Wsh,TE,0,0,0,0,0,0,0,0,23.3,320.8,2,67.7
35,A.J. Derby,Den,TE,0,0,0,0,0,0,0,0,26.2,266.8,1.8,63.3
36,Marcedes Lewis,Jax,TE,0,0,0,0,0,0,0,0,22.3,249.9,2,58.3
37,Benjamin Watson,Bal,TE,0,0,0,0,0,0,0,0,24.3,243,1.7,58.2
38,Seth DeValve,Cle,TE,0,0,0,0,0,0,0,0,25.4,248.1,1.4,58.2
39,George Kittle,SF,TE,0,0,0,0,0,0,0,0,22.1,232.5,1.3,53.1
40,Vance McDonald,SF,TE,0,0,0,0,0,0,0,0,19.8,247,1.4,52.2
