player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Dallas Cowboys,,59.6,17.0,18.0,25.0,3.4,0.0,405.0,5433.0,178.0
Philadelphia Eagles,,66.4,13.6,15.0,20.0,3.0,1.0,376.0,5057.0,242.4
New England Patriots,,56.3,17.8,14.0,19.0,4.0,0.2,400.7,5356.0,200.3
Pittsburgh Steelers,,58.5,19.0,9.0,14.4,3.0,0.2,382.0,5380.0,200.5
Indianapolis Colts,,52.1,16.6,14.0,20.0,2.8,1.7,394.2,5291.0,156.3
Cleveland Browns,,53.0,18.0,13.0,18.0,3.2,0.6,376.0,5259.0,168.2
San Francisco 49ers,,50.3,15.0,14.0,19.0,3.1,0.0,345.1,5118.0,193.7
Kansas City Chiefs,,56.6,13.9,13.0,19.0,3.0,1.0,410.4,5332.0,194.0
Washington Commanders,,56.3,16.0,14.0,20.0,3.1,1.0,394.3,5409.0,168.9
Miami Dolphins,,51.8,16.0,12.0,16.0,2.9,1.0,402.0,5242.0,193.2
New Orleans Saints,,57.3,15.0,12.0,17.0,3.1,0.5,354.0,4824.0,230.7
Buffalo Bills,,45.9,18.0,13.0,18.0,3.3,1.0,385.3,5209.0,187.4
Green Bay Packers,,49.3,19.3,12.0,16.0,3.0,1.0,414.8,5759.5,186.2
New York Jets,,53.8,15.3,10.1,17.2,3.0,1.9,376.9,4924.0,217.4
Seattle Seahawks,,53.5,15.9,13.0,18.0,3.1,1.2,388.2,5876.0,162.1
Los Angeles Chargers,,48.1,17.3,13.0,18.0,3.2,1.0,429.0,6010.7,159.3
Minnesota Vikings,,49.0,16.7,14.0,19.0,3.0,0.5,434.6,5914.9,143.7
Detroit Lions,,46.0,16.0,13.0,19.0,3.4,1.0,441.0,6035.0,157.8
Houston Texans,,51.9,16.0,13.0,18.0,3.0,1.0,439.0,5324.0,193.9
Baltimore Ravens,,55.6,14.3,15.0,21.0,3.2,0.5,373.5,5450.0,198.8
Tampa Bay Buccaneers,,47.9,14.2,16.0,22.0,2.7,0.2,401.6,5536.0,150.7
Jacksonville Jaguars,,44.4,15.0,15.0,21.0,3.3,0.0,382.0,5269.0,191.2
Los Angeles Rams,,49.6,15.0,10.0,14.0,2.8,0.4,447.8,5567.0,147.2
Tennessee Titans,,44.5,15.7,11.0,16.0,2.9,0.2,376.7,5185.0,173.7
Cincinnati Bengals,,42.7,16.0,14.0,20.0,3.3,0.3,376.4,5587.0,187.5
New York Giants,,46.0,14.0,15.0,21.0,3.0,1.0,401.8,5886.0,152.8
Carolina Panthers,,44.8,13.1,12.0,16.0,2.9,1.0,388.0,5208.0,171.8
Denver Broncos,,45.7,17.9,11.0,16.0,2.9,0.4,403.0,5274.0,146.5
Atlanta Falcons,,41.4,17.1,12.0,17.8,3.1,1.0,400.0,5752.0,136.6
Arizona Cardinals,,47.3,13.0,12.0,17.4,2.6,0.3,437.9,5349.0,137.3
Chicago Bears,,40.1,15.0,12.0,17.0,2.9,1.0,434.0,6235.4,134.1
Las Vegas Raiders,,38.9,11.8,11.0,15.0,2.7,1.0,448.3,5902.0,127.2
