player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Dallas Cowboys,,41.6,12.5,8.0,14.8,1.9,0.0,335.7,5890.0,105.6
Philadelphia Eagles,,44.6,10.9,7.0,12.7,1.9,0.0,337.0,5983.7,95.3
New England Patriots,,39.1,11.4,5.6,9.5,2.2,0.0,322.0,5945.5,102.6
Pittsburgh Steelers,,43.0,11.0,8.1,12.0,0.8,0.0,324.0,5818.2,97.0
Indianapolis Colts,,39.9,11.9,8.7,14.4,1.4,0.0,378.2,5965.4,87.1
Cleveland Browns,,39.0,11.4,8.0,12.2,1.6,0.0,350.9,5735.5,91.0
San Francisco 49ers,,44.2,12.2,8.1,13.0,1.0,0.0,283.0,5702.0,104.0
Kansas City Chiefs,,42.8,11.8,7.1,11.1,1.4,0.0,332.7,6021.9,84.6
Washington Commanders,,40.0,10.0,8.0,13.0,1.2,0.0,369.2,5788.4,96.0
Miami Dolphins,,42.8,11.4,8.5,14.1,1.4,0.0,328.5,5843.2,100.0
New Orleans Saints,,38.3,12.6,7.4,10.6,0.9,0.0,310.0,5621.4,101.0
Buffalo Bills,,41.0,11.5,7.7,10.8,0.6,0.0,287.0,5759.3,111.0
Green Bay Packers,,38.0,12.6,7.0,12.1,1.7,0.0,353.0,5878.3,98.0
New York Jets,,41.6,11.9,8.0,10.9,1.0,0.0,325.0,5823.2,91.0
Seattle Seahawks,,40.0,11.7,8.4,13.7,1.0,0.0,372.3,6006.5,87.5
Los Angeles Chargers,,39.0,11.6,8.0,13.6,1.0,0.0,351.7,6233.0,79.2
Minnesota Vikings,,38.4,12.0,8.7,11.5,0.8,0.0,397.0,6267.2,64.1
Detroit Lions,,35.0,11.0,8.8,11.5,1.0,0.0,390.3,6250.9,69.8
Houston Texans,,34.0,10.9,8.8,12.0,1.0,0.0,336.0,5997.6,90.2
Baltimore Ravens,,40.0,11.3,8.0,13.5,0.8,0.0,312.5,5964.3,92.0
Tampa Bay Buccaneers,,39.0,10.0,8.8,13.5,0.9,0.0,366.0,5860.4,89.0
Jacksonville Jaguars,,33.0,11.0,8.5,13.3,1.1,0.0,317.0,6000.8,87.6
Los Angeles Rams,,37.0,11.3,6.3,10.6,1.2,0.0,363.5,6192.8,64.2
Tennessee Titans,,37.0,11.6,6.4,10.6,1.5,0.0,310.0,5868.1,93.0
Cincinnati Bengals,,37.6,11.2,8.9,13.2,0.5,0.0,305.3,5889.4,86.0
New York Giants,,37.0,11.0,8.4,13.8,0.9,0.0,366.2,6172.3,73.9
Carolina Panthers,,36.0,10.0,8.0,10.6,1.7,0.0,340.0,5802.6,84.0
Denver Broncos,,37.0,11.7,7.0,14.5,0.5,0.0,336.5,5948.6,87.0
Atlanta Falcons,,30.0,12.5,8.9,13.8,1.0,0.0,367.6,5921.4,89.0
Arizona Cardinals,,37.7,11.0,7.9,12.3,1.2,0.0,393.6,6240.4,62.6
Chicago Bears,,28.7,11.0,8.7,12.9,0.6,0.0,354.1,6285.0,64.7
Las Vegas Raiders,,33.0,7.0,8.0,12.9,1.6,0.0,381.8,6296.9,53.7
