name,team,kicking_fgm,kicking_fga,kicking_xpmade,fp_projection

Stephen Gostkowski,NE,31.0,35.8,49.9,142.8
Matt Bryant,ATL,29.9,34.2,46.5,136.1
Justin Tucker,BAL,31.8,35.1,34.5,130.0
Mason Crosby,GB,27.9,32.6,45.8,129.4
Dan Bailey,DAL,28.3,32.6,43.3,128.2
Will Lutz,NO,26.9,32.2,46.4,127.0
Graham Gano,CAR,29.0,35.0,38.4,125.3
Sebastian Janikowski,OAK,28.0,33.4,40.3,124.1
Adam Vinatieri,IND,27.6,31.4,41.1,124.1
Dustin Hopkins,WAS,28.3,34.1,38.6,123.5
Cairo Santos,KC,28.5,33.4,36.3,121.7
Blair Walsh,SEA,28.1,33.8,37.5,121.7
Caleb Sturgis,PHI,28.3,33.7,35.5,120.4
Chris Boswell,PIT,27.0,31.6,39.0,120.0
Matt Prater,DET,28.0,32.1,35.7,119.9
Younghoe Koo,LAC,26.5,31.8,39.1,118.5
Phil Dawson,ARI,25.4,29.7,42.1,118.2
Brandon McManus,DEN,27.2,32.3,33.6,115.2
Steven Hauschka,BUF,25.9,30.4,36.7,114.3
Randy Bullock,CIN,25.8,30.9,36.4,113.9
Kai Forbath,MIN,26.6,30.4,33.9,113.6
Ka'imi Fairbairn,HOU,27.5,32.9,31.1,113.5
Jason Myers,JAC,26.2,31.4,33.2,111.8
Nick Folk,TB,24.9,29.3,36.9,111.7
Ryan Succop,TEN,24.1,27.8,39.3,111.7
Robbie Gould,SF,23.7,27.4,31.0,102.2
Connor Barth,CHI,23.1,28.8,31.7,100.9
Cody Parkey,MIA,21.9,26.9,34.5,100.2
Chandler Catanzaro,NYJ,23.5,28.6,28.3,98.7
Greg Zuerlein,LAR,22.6,27.4,28.5,96.4
Zane Gonzalez,CLE,22.8,27.8,27.7,96.2
Aldrick Rosas,NYG,20.2,24.1,29.8,90.5
Harrison Butker,CAR,14.4,17.1,19.6,62.8
Jake Elliott,CIN,13.1,15.6,19.1,58.2
