player,team,fgm,fga,xpm,fp_projection
Greg Zuerlein,LAR,33.2,37.4,50.0,143.6
Stephen Gostkowski,NE,30.0,34.4,50.3,147.1
Justin Tucker,BAL,34.3,37.9,38.0,143.6
Wil Lutz,NO,29.7,35.4,51.0,145.5
Harrison Butker,KC,26.5,32.4,50.3,141.7
Ka'imi Fairbairn,HOU,33.0,37.0,39.0,138.0
Michael Badgley,LAC,27.7,32.0,46.0,133.3
Robbie Gould,SF,29.0,33.0,44.5,126.6
Matt Bryant,ATL,27.8,31.0,42.7,132.9
Jake Elliott,PHI,28.1,32.8,44.0,126.3
Brett Maher,DAL,27.3,33.4,40.7,134.4
Mason Crosby,GB,27.5,33.2,43.2,128.2
Ryan Succop,TEN,28.8,34.9,36.2,134.8
Matt Prater,DET,29.0,33.0,37.0,124.0
Aldrick Rosas,NYG,28.1,32.4,35.0,117.8
Jason Myers,SEA,27.2,31.0,41.0,130.8
Adam Vinatieri,IND,26.2,32.9,36.4,124.1
Kaare Vedvik,NYJ,26.0,31.2,32.5,119.2
Eddy Pineiro,CHI,26.1,31.1,44.0,123.9
Chris Boswell,PIT,24.5,29.4,44.0,112.9
Matt Gay,TB,27.4,32.8,38.0,127.6
Joey Slye,CAR,26.0,31.0,37.0,115.0
Dan Bailey,MIN,27.0,33.0,40.0,121.0
Austin Seibert,CLE,25.2,30.2,39.6,115.2
Brandon McManus,DEN,25.3,30.8,38.0,120.1
Josh Lambo,JAC,26.9,31.0,35.0,121.5
Daniel Carlson,OAK,27.1,32.1,32.7,113.5
Randy Bullock,CIN,24.8,29.2,37.0,112.4
Steven Hauschka,BUF,25.5,29.9,30.5,113.7
Jason Sanders,MIA,25.9,29.8,32.0,113.2
Dustin Hopkins,WAS,25.0,30.4,30.6,118.3
Zane Gonzalez,ARI,25.4,32.6,32.0,106.6
