player,team,fgm,fga,xpm,fp_projection
Harrison Butker,KC,24.2,30.5,40.6,113.3
Wil Lutz,NO,23.0,30.7,44.9,114.0
Justin Tucker,BAL,24.4,28.2,39.5,112.8
Robbie Gould,SF,25.0,29.0,38.2,118.2
Greg Zuerlein,DAL,22.1,30.0,39.3,105.5
Jason Myers,SEA,24.0,29.0,34.9,112.0
Matt Prater,DET,23.4,30.0,33.0,103.3
Dan Bailey,MIN,22.8,29.0,34.1,102.5
Austin Seibert,CLE,25.2,29.0,31.6,110.7
Younghoe Koo,ATL,22.8,26.9,33.9,108.7
Jake Elliott,PHI,23.0,27.0,30.7,109.0
Chase McLaughlin,IND,22.0,27.0,35.2,106.0
Chris Boswell,PIT,25.0,29.0,30.9,105.8
Zane Gonzalez,ARI,22.3,30.7,32.0,98.9
Ka'imi Fairbairn,HOU,22.0,28.0,31.4,97.5
Mason Crosby,GB,22.0,26.0,38.0,104.0
Matt Gay,TB,22.5,30.5,28.6,96.0
Brandon McManus,DEN,23.7,29.0,27.5,107.6
Michael Badgley,LAC,22.0,24.0,28.0,99.0
Josh Lambo,JAC,22.5,25.0,27.5,101.3
Greg Joseph,TEN,18.0,21.0,33.0,87.0
Jason Sanders,MIA,22.0,27.0,29.0,101.0
Randy Bullock,CIN,23.3,28.0,24.9,104.9
Joey Slye,CAR,24.0,29.0,25.6,103.0
Tyler Bass,BUF,22.0,30.0,29.8,0.0
Daniel Carlson,LV,21.0,26.0,31.1,96.0
Justin Rohrwasser,NE,18.0,24.0,22.0,76.0
Graham Gano,NYG,20.0,23.0,26.5,90.0
Sam Ficken,NYJ,21.0,27.0,24.7,95.0
Dustin Hopkins,WAS,21.0,24.0,25.1,90.0
Sam Sloman,LAR,13.0,16.0,16.0,55.0
Eddy Pineiro,CHI,14.0,18.0,15.0,57.0
Brett Maher,NYJ,20.0,26.0,31.0,0.0
Cairo Santos,CHI,9.0,13.0,10.0,0.0
Lirim Hajrullahu,LAR,6.0,8.0,8.0,26.0
Austin MacGinnis,LAR,6.0,8.0,8.0,26.0
Nick Folk,NE,6.0,8.0,7.0,0.0
