player,team,fgm,fga,xpm,fp_projection
Justin Tucker,BAL,28.7,33.1,50.3,136.4
Harrison Butker,KC,28.8,33.3,46.9,133.2
Greg Zuerlein,DAL,28.0,35.8,44.3,128.3
Tyler Bass,BUF,26.9,33.0,46.7,127.5
Younghoe Koo,ATL,29.4,34.8,38.5,126.8
Jason Myers,SEA,26.6,30.3,44.7,124.4
Jason Sanders,MIA,28.5,33.8,37.3,122.9
Daniel Carlson,LV,27.1,32.7,40.8,122.1
Rodrigo Blankenship,IND,28.0,34.0,37.5,121.4
Mason Crosby,GB,23.4,25.5,51.1,121.3
Matt Gay,LAR,27.4,33.1,38.5,120.7
Robbie Gould,SF,25.7,31.7,42.1,119.2
Matt Prater,ARI,25.8,31.2,40.3,117.8
Brandon McManus,DEN,27.1,32.7,35.6,116.9
Greg Joseph,MIN,24.3,29.4,43.6,116.5
Chase McLaughlin,CLE,25.4,30.2,40.1,116.4
Cairo Santos,CHI,26.4,32.1,36.8,115.9
Sam Ficken,TEN,24.6,29.8,41.9,115.7
Tristan Vizcaino,LAC,26.1,31.7,37.1,115.5
Graham Gano,NYG,27.3,31.4,32.1,114.1
Chris Boswell,PIT,25.1,28.3,38.0,113.2
Dustin Hopkins,WAS,25.9,31.6,34.0,111.7
Evan McPherson,CIN,26.2,32.3,32.5,111.3
Ryan Santoso,CAR,26.0,32.0,32.9,110.8
Quinn Nordin,NE,25.5,31.1,33.4,109.9
Ka'imi Fairbairn,HOU,25.7,31.0,32.8,109.8
Austin Seibert,DET,24.6,29.2,32.0,105.7
Josh Lambo,JAC,24.2,27.5,32.8,105.4
Ryan Succop,TB,21.5,31.6,38.2,102.6
Matt Ammendola,NYJ,23.8,28.1,29.3,100.7
Jake Elliott,PHI,22.6,26.3,29.4,97.2
Wil Lutz,NO,15.9,15.8,27.2,74.9
Nick Folk,NE,0.0,0.0,0.0,0.0
Brett Maher,NO,0.0,0.0,0.0,0.0
Cody Parkey,CLE,0.0,0.0,0.0,0.0
