name,team,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fp_projection

Aaron Rodgers,GB,604.1,392.8,4428.8,35.6,8.1,60.1,332.3,2.5,4.0,343.6
Tom Brady,NE,597.1,390.6,4691.5,35.4,8.0,35.1,62.3,1.4,2.9,321.7
Drew Brees,NO,646.3,439.6,4925.1,33.6,14.7,22.8,33.0,1.2,3.4,305.8
Matt Ryan,ATL,560.5,377.5,4655.0,32.6,10.9,34.3,100.3,0.7,3.0,303.0
Russell Wilson,SEA,533.0,343.2,4090.9,26.8,11.4,82.5,386.5,2.1,2.9,293.3
Cam Newton,CAR,528.8,306.2,3775.5,24.4,13.5,84.6,403.5,4.9,4.1,282.8
Jameis Winston,TB,573.3,356.1,4293.7,28.3,16.3,51.3,186.0,2.6,3.5,279.4
Dak Prescott,DAL,492.5,318.1,3746.6,24.7,9.1,58.3,282.1,3.4,3.5,271.9
Marcus Mariota,TEN,517.6,320.9,3823.4,26.5,12.1,58.7,323.8,2.1,3.8,271.8
Kirk Cousins,WAS,593.2,386.1,4524.6,25.1,13.2,32.8,87.1,2.4,4.2,269.7
Matthew Stafford,DET,586.9,380.1,4185.9,25.5,12.2,37.4,157.9,1.8,2.9,265.8
Ben Roethlisberger,PIT,553.8,361.7,4262.1,29.5,14.2,22.1,39.6,0.6,2.6,262.6
Derek Carr,OAK,592.6,365.7,4121.9,28.6,11.0,35.4,86.5,0.5,3.4,262.4
Philip Rivers,LAC,584.7,363.5,4336.6,30.6,15.9,16.7,39.0,0.2,4.3,260.5
Andy Dalton,CIN,541.0,347.1,4010.5,24.2,10.9,48.3,161.7,2.5,3.4,260.3
Andrew Luck,IND,504.2,310.3,3674.3,26.1,13.8,55.6,273.0,1.9,3.5,255.4
Tyrod Taylor,BUF,431.7,266.2,3020.8,19.0,8.5,89.2,527.7,4.2,3.1,251.5
Eli Manning,NYG,595.6,370.6,4192.8,27.7,15.4,18.9,29.6,0.2,4.2,243.5
Carson Wentz,PHI,584.4,356.8,3914.6,22.6,14.2,47.0,165.3,1.9,3.3,239.7
Carson Palmer,ARI,584.6,360.6,4172.2,25.6,15.2,16.4,35.0,0.3,3.7,236.5
Joe Flacco,BAL,621.1,390.1,4081.2,22.1,15.5,23.4,51.6,1.7,3.0,229.7
Alex Smith,KC,491.7,319.5,3449.0,19.5,9.4,54.0,214.8,2.3,3.6,225.6
Sam Bradford,MIN,547.2,361.6,3824.1,22.1,10.2,21.6,48.0,0.2,3.5,220.1
Blake Bortles,JAC,497.1,291.4,3246.5,20.3,13.7,48.8,277.2,1.8,4.0,214.5
Jay Cutler,MIA,469.1,294.8,3395.0,21.8,14.2,32.2,128.3,1.0,3.5,206.9
Trevor Siemian,DEN,485.7,291.3,3324.7,18.1,12.5,26.7,69.5,0.6,2.8,185.4
Jared Goff,LAR,524.8,304.3,3351.7,17.8,15.7,25.1,68.3,0.9,3.3,179.7
Brian Hoyer,SF,480.7,291.9,3286.3,18.1,12.7,28.7,60.0,0.4,3.8,179.0
DeShone Kizer,CLE,436.2,258.0,2887.6,14.3,12.9,55.7,241.6,1.5,2.5,175.2
Mike Glennon,CHI,399.7,243.2,2804.2,16.9,12.7,26.6,89.6,0.6,2.8,161.1
Josh McCown,NYJ,392.5,228.4,2548.2,13.0,12.2,28.8,105.1,0.9,2.3,140.7
Deshaun Watson,HOU,317.7,186.7,2063.0,11.3,9.5,38.3,168.2,1.4,2.1,129.8
Tom Savage,HOU,237.0,138.6,1494.7,8.4,6.2,15.0,50.6,0.3,1.4,85.3
Mitch Trubisky,CHI,127.3,75.5,858.7,5.0,3.8,10.3,38.3,0.2,0.6,50.6
Nathan Peterman,BUF,84.2,52.3,556.6,3.4,2.5,6.1,23.5,0.3,0.0,34.7
Cody Kessler,CLE,98.1,60.0,657.1,3.5,2.7,6.7,14.3,0.2,1.7,34.1
Christian Hackenberg,NYJ,110.2,63.2,692.2,3.2,5.0,5.7,14.2,0.1,0.6,30.9
Paxton Lynch,DEN,83.5,49.1,566.2,2.8,2.3,7.8,21.2,0.0,0.6,30.6
Chad Henne,JAC,79.9,47.1,529.5,3.0,2.7,6.8,21.9,0.1,0.2,29.9
Scott Tolzien,IND,78.2,46.3,510.2,3.1,2.5,4.8,13.4,0.1,0.1,29.2
C.J. Beathard,SF,71.5,42.1,471.7,2.1,1.8,3.0,9.0,0.0,0.0,24.6
Bryce Petty,NYJ,74.6,43.1,478.7,2.3,3.0,4.8,13.9,0.0,0.0,23.8
Teddy Bridgewater,MIN,42.6,26.8,300.8,1.9,1.2,3.7,10.0,0.1,0.0,18.6
Matt Moore,MIA,44.4,27.0,314.9,2.0,1.2,3.5,7.2,0.0,0.5,18.1
Sean Mannion,LAR,44.2,25.2,279.8,1.8,1.0,3.3,8.2,0.0,0.0,17.2
Patrick Mahomes,KC,39.7,24.0,264.7,1.4,1.1,3.8,14.7,0.1,0.1,15.8
Landry Jones,PIT,32.0,19.0,218.4,1.4,0.9,2.0,4.9,0.0,0.0,13.3
Kevin Hogan,CLE,31.3,17.7,194.4,1.1,0.8,3.0,19.4,0.1,0.0,13.1
Drew Stanton,ARI,34.8,20.7,223.5,1.4,1.2,2.0,3.7,0.0,0.0,12.5
Derek Anderson,CAR,23.8,14.5,171.1,0.9,0.7,2.0,3.5,0.0,0.0,9.6
T.J. Yates,BUF,29.3,17.3,194.3,0.7,0.7,1.7,3.3,0.0,0.0,9.4
Matt Cassel,TEN,24.9,14.1,161.8,0.7,0.7,1.7,5.0,0.0,0.0,8.5
Cooper Rush,DAL,25.0,15.0,179.0,0.0,0.0,3.0,10.0,0.0,0.0,8.2
Nick Foles,PHI,20.7,11.5,135.8,0.7,0.2,1.2,3.6,0.0,0.0,8.1
AJ McCarron,CIN,17.8,10.7,128.6,0.7,0.3,1.6,3.4,0.0,0.0,7.9
Brett Hundley,GB,19.3,11.0,128.4,0.8,0.4,1.1,3.2,0.0,0.0,7.8
Jimmy Garoppolo,NE,16.9,10.4,122.9,0.7,0.1,0.9,1.9,0.0,0.0,7.8
Case Keenum,MIN,17.7,10.7,118.4,0.8,0.4,1.6,4.3,0.0,0.0,7.8
Geno Smith,NYG,18.9,11.0,126.6,0.8,0.7,1.8,5.7,0.0,0.0,7.4
Cardale Jones,LAC,20.2,11.7,131.6,0.7,0.8,2.6,7.7,0.0,0.0,7.3
Brock Osweiler,DEN,21.6,12.7,134.1,0.6,0.5,1.4,5.5,0.0,0.0,7.3
Colt McCoy,WAS,15.4,9.3,105.8,0.7,0.2,1.1,2.8,0.0,0.0,6.9
Kellen Moore,DAL,15.0,9.0,106.0,1.0,1.0,1.0,1.0,0.0,0.0,6.3
Ryan Fitzpatrick,TB,16.1,9.7,112.1,0.4,0.4,1.3,5.0,0.0,0.0,6.1
Ryan Mallett,BAL,20.7,11.4,127.8,0.5,0.7,1.1,2.9,0.0,0.0,6.1
Connor Cook,OAK,16.6,9.3,107.5,0.4,0.6,1.6,4.9,0.0,0.0,5.2
Austin Davis,SEA,14.1,8.4,94.8,0.4,0.4,0.7,3.6,0.0,0.0,5.1
Matt Schaub,ATL,13.1,8.1,89.7,0.5,0.5,0.9,2.2,0.0,0.0,5.0
Jake Rudock,DET,16.0,9.6,110.7,0.4,0.7,1.4,1.9,0.0,0.0,4.9
Trevone Boykin,SEA,8.0,4.5,57.0,0.5,0.0,1.0,4.0,0.0,0.0,4.7
Kellen Clemens,LAC,10.3,6.2,70.6,0.7,0.6,0.6,0.9,0.0,0.0,4.3
Chase Daniel,NO,10.1,6.1,72.4,0.2,0.3,1.0,1.5,0.0,0.0,3.3
Jacoby Brissett,IND,10.1,5.7,66.9,0.0,0.3,1.0,2.0,0.0,0.0,2.2
Blaine Gabbert,ARI,6.0,4.0,45.0,0.0,0.0,1.0,4.0,0.0,0.0,2.2
Mark Sanchez,CHI,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Joe Webb,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
