player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection

Aaron Rodgers,GB,587.0,376.1,4167.0,33.8,9.2,58.9,309.5,2.1,2.9,321.0
Tom Brady,NE,583.7,383.8,4592.1,32.4,8.7,27.7,41.0,0.9,2.9,299.5
Russell Wilson,SEA,532.3,325.1,3825.3,26.1,12.5,90.4,503.1,3.2,3.3,294.8
Deshaun Watson,HOU,510.8,309.0,3779.4,27.3,16.0,76.7,442.0,3.5,3.2,287.1
Cam Newton,CAR,512.9,299.6,3480.6,22.3,14.5,120.0,621.4,5.0,2.7,286.5
Drew Brees,NO,570.9,392.0,4520.3,29.0,12.6,26.7,57.2,1.4,2.7,280.2
Andrew Luck,IND,546.1,342.3,3970.1,26.2,14.7,56.6,275.9,2.0,3.2,267.2
Ben Roethlisberger,PIT,573.7,367.3,4379.3,28.8,14.7,23.6,60.3,0.7,2.7,265.7
Matthew Stafford,DET,574.3,372.3,4239.4,26.7,12.0,34.8,127.7,1.0,3.5,264.1
Alex Smith,WAS,532.5,343.2,3914.0,24.1,9.1,58.0,259.0,1.7,3.8,263.3
Jimmy Garoppolo,SF,568.7,362.3,4290.7,24.5,12.4,39.8,116.1,1.6,2.9,260.2
Kirk Cousins,MIN,543.7,353.5,4042.1,25.6,13.5,49.0,158.4,2.5,3.7,260.2
Philip Rivers,LAC,569.6,355.4,4335.8,28.7,13.7,19.0,35.0,0.3,3.0,259.8
Matt Ryan,ATL,549.2,360.0,4240.1,25.5,12.1,34.4,116.2,0.7,2.8,257.8
Carson Wentz,PHI,502.6,310.8,3617.2,25.8,10.6,59.9,236.4,1.7,3.4,253.7
Jared Goff,LAR,534.9,325.7,3994.0,27.2,11.4,29.5,78.3,1.1,3.7,252.6
Patrick Mahomes,KC,539.1,340.7,3884.1,23.6,14.5,57.8,234.5,2.0,2.8,250.2
Marcus Mariota,TEN,503.4,310.3,3561.6,21.9,14.0,65.4,349.7,3.1,3.1,249.4
Dak Prescott,DAL,499.9,310.9,3455.7,21.6,12.4,59.4,324.1,3.7,3.1,248.2
Blake Bortles,JAC,522.2,311.6,3590.0,21.6,13.0,57.7,325.4,2.3,3.4,243.4
Andy Dalton,CIN,534.6,322.4,3674.3,23.5,13.4,40.9,135.4,1.4,3.5,228.8
Ryan Tannehill,MIA,551.7,347.5,3831.1,22.0,14.7,39.8,164.2,1.3,3.6,228.5
Case Keenum,DEN,551.5,342.8,3805.8,21.6,12.6,40.4,147.2,1.1,3.5,227.5
Derek Carr,OAK,561.4,341.1,3781.7,24.4,13.2,27.1,75.8,0.5,3.5,226.3
Mitch Trubisky,CHI,525.9,316.3,3458.0,20.1,13.9,58.7,289.4,2.2,4.2,224.5
Eli Manning,NYG,601.2,367.8,3912.9,24.2,14.7,15.3,29.9,0.7,3.4,223.9
