player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Patrick Mahomes II,KC,644.5,427.0,5173.6,39.5,9.1,69.0,434.3,3.9,1.0,449.0
Josh Allen,BUF,615.7,390.9,4596.0,34.2,10.8,127.9,704.0,7.5,2.2,446.5
Jalen Hurts,PHI,530.5,349.8,4024.4,28.0,8.0,174.0,930.4,15.4,1.0,424.0
Lamar Jackson,BAL,536.0,330.0,3704.0,28.0,10.0,168.0,1082.1,7.3,1.5,396.1
Joe Burrow,CIN,634.3,425.1,4780.5,34.0,11.6,70.3,423.6,4.6,0.6,400.1
Justin Fields,CHI,464.0,283.0,3245.0,22.4,10.0,184.7,1235.2,8.5,0.7,375.8
Justin Herbert,LAC,689.0,468.0,4813.2,31.7,11.3,60.5,274.5,3.6,0.4,383.1
Deshaun Watson,CLE,543.0,342.0,4021.6,28.1,9.0,113.3,553.0,7.0,0.5,336.0
Dak Prescott,DAL,580.3,378.4,4218.9,32.0,12.9,66.0,304.6,3.1,1.8,342.9
Trevor Lawrence,JAC,595.9,395.1,4329.7,30.0,9.1,69.0,311.0,6.8,1.8,348.3
Kirk Cousins,MIN,636.0,429.0,4618.0,31.8,9.9,41.6,102.4,2.0,0.7,357.2
Daniel Jones,NYG,540.8,355.2,3629.8,22.0,6.0,122.0,750.8,5.7,1.9,335.8
Geno Smith,SEA,589.0,400.0,4258.9,28.9,8.8,72.0,366.5,4.0,1.6,362.9
Aaron Rodgers,NYJ,610.0,381.0,4378.0,30.8,6.5,41.2,163.3,2.0,1.3,329.3
Tua Tagovailoa,MIA,595.6,384.6,4465.0,31.1,10.6,60.4,165.7,2.6,1.0,323.7
Russell Wilson,DEN,552.8,353.4,3977.2,27.8,8.6,66.0,355.0,4.0,0.4,309.5
Jared Goff,DET,600.5,389.7,4443.4,30.6,7.0,35.7,90.5,1.6,1.3,332.0
Anthony Richardson,IND,576.4,374.8,4249.8,26.4,10.0,200.0,1039.0,5.9,0.7,308.9
Derek Carr,NO,538.0,357.1,4198.7,26.6,10.9,36.0,155.4,2.1,0.6,287.1
Matthew Stafford,LAR,560.5,372.3,4285.1,26.5,10.6,38.3,121.1,1.3,1.0,304.5
Jordan Love,GB,602.5,382.7,4298.5,25.7,12.5,55.6,248.7,2.3,1.0,295.2
Kenny Pickett,PIT,571.0,364.0,3696.0,21.8,9.2,78.0,1047.9,7.9,0.7,288.2
Brock Purdy,SF,542.0,351.2,3738.3,26.0,6.7,41.4,216.5,3.3,0.8,286.0
Bryce Young,CAR,546.8,350.4,3851.0,23.6,10.0,73.1,284.7,2.0,0.9,263.6
Jimmy Garoppolo,LV,576.4,380.9,3888.0,25.3,11.0,34.2,134.7,2.0,1.0,290.2
