name,team,passing_att,passing_cmp,passing_yds,passing_tds,passing_ints,rushing_att,rushing_yds,rushing_tds,fumbles_lost,fp_projection

Aaron Rodgers,GB,608.9,395.9,4438.4,35.5,8.3,60.7,340.2,2.6,3.9,344.7
Tom Brady,NE,601.8,393.4,4697.4,35.6,8.3,35.5,63.2,1.4,2.8,323.1
Drew Brees,NO,647.1,439.3,4927.6,33.5,14.4,22.8,34.1,1.3,3.8,305.7
Matt Ryan,ATL,558.9,376.4,4654.9,32.7,11.1,34.8,102.2,0.8,2.9,304.2
Russell Wilson,SEA,535.3,343.5,4091.4,27.1,11.8,81.2,378.6,2.1,2.8,293.8
Cam Newton,CAR,528.5,305.6,3795.1,24.3,13.5,84.7,408.3,4.8,4.2,283.4
Andrew Luck,IND,539.9,332.1,3940.1,28.2,15.0,61.3,298.5,2.1,3.1,276.7
Jameis Winston,TB,573.5,357.5,4289.2,27.9,16.1,50.2,183.3,2.5,3.9,276.5
Marcus Mariota,TEN,518.6,321.0,3812.4,26.6,12.5,58.4,331.7,2.1,3.6,272.3
Dak Prescott,DAL,494.9,318.6,3736.3,24.6,9.0,59.0,282.9,3.2,4.0,269.6
Kirk Cousins,WAS,595.7,385.9,4530.1,24.9,13.3,33.4,89.9,2.5,4.4,269.4
Matthew Stafford,DET,588.5,380.7,4180.5,25.6,12.4,37.1,158.5,1.8,2.8,265.8
Ben Roethlisberger,PIT,551.8,360.1,4232.6,29.5,14.0,22.6,42.5,0.8,2.2,263.5
Tyrod Taylor,BUF,446.9,276.0,3114.1,19.3,8.8,91.0,544.6,4.3,3.2,258.3
Derek Carr,OAK,593.0,363.3,4097.1,27.9,11.1,35.3,86.7,0.6,3.8,258.2
Andy Dalton,CIN,541.4,346.9,3995.4,24.1,11.1,48.6,164.3,2.5,3.7,257.8
Philip Rivers,LAC,584.8,361.1,4308.5,30.5,15.7,16.8,40.5,0.2,5.5,257.2
Eli Manning,NYG,591.7,367.5,4153.2,27.3,15.2,18.9,30.4,0.2,4.4,240.3
Carson Wentz,PHI,582.9,354.1,3862.3,22.3,14.1,47.1,167.6,1.9,3.6,236.3
Carson Palmer,ARI,581.9,359.2,4139.8,25.2,15.3,16.2,34.7,0.3,4.4,232.6
Joe Flacco,BAL,619.4,388.1,4058.4,22.1,15.5,23.3,51.4,1.6,3.0,228.3
Alex Smith,KC,488.6,317.1,3426.9,19.0,9.8,54.2,214.4,2.4,4.0,221.0
Sam Bradford,MIN,539.2,358.0,3765.2,21.9,10.1,21.6,47.3,0.3,4.0,216.3
Jay Cutler,MIA,463.2,290.6,3341.0,21.8,14.2,32.4,130.5,1.0,3.9,203.9
Trevor Siemian,DEN,479.0,287.4,3255.7,17.7,12.6,26.3,69.5,0.5,3.4,179.0
Jared Goff,LAR,516.4,298.3,3282.3,17.2,15.5,24.4,69.3,0.9,3.6,174.3
Brian Hoyer,SF,462.0,281.0,3163.1,17.3,11.5,27.7,56.3,0.4,4.6,171.7
DeShone Kizer,CLE,433.3,256.6,2839.5,13.8,13.1,50.3,222.9,1.4,3.1,167.2
Mike Glennon,CHI,373.8,230.9,2665.8,15.7,11.5,24.3,87.0,0.5,3.5,150.9
