name,team,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fp_projection

David Johnson,ARI,281.5,1172.9,11.5,75.5,741.9,3.9,3.1,315.6
Le'Veon Bell,PIT,293.4,1343.1,9.4,76.8,627.4,2.4,2.2,301.8
LeSean McCoy,BUF,252.1,1225.5,9.3,47.4,366.3,1.8,1.1,247.2
Devonta Freeman,ATL,217.3,958.8,8.7,55.4,484.5,2.7,1.8,236.6
Melvin Gordon,LAC,272.8,1094.9,8.1,46.7,400.8,1.9,3.7,225.6
Jordan Howard,CHI,270.6,1256.6,7.0,36.3,318.1,1.6,1.6,224.4
Jay Ajayi,MIA,266.1,1198.6,8.5,36.1,254.7,1.3,1.3,219.7
DeMarco Murray,TEN,246.6,1065.7,7.4,44.3,319.6,2.1,1.8,213.9
Todd Gurley,LAR,273.6,1040.7,8.0,39.5,304.4,1.0,1.4,205.1
Lamar Miller,HOU,262.1,1063.4,6.4,36.0,262.4,1.4,1.6,194.3
Leonard Fournette,JAC,236.0,1027.9,7.0,30.4,227.6,1.2,1.8,186.4
Ezekiel Elliott,DAL,197.5,954.2,7.1,26.3,248.6,1.0,0.9,180.1
Kareem Hunt,KC,208.0,861.2,6.9,36.7,297.1,1.2,1.7,179.5
Isaiah Crowell,CLE,214.7,930.4,6.0,36.8,293.5,0.6,1.6,177.5
Dalvin Cook,MIN,195.3,823.1,6.6,38.3,301.8,1.6,1.6,177.1
Marshawn Lynch,OAK,200.1,839.0,8.1,32.1,240.1,1.1,1.2,176.7
Christian McCaffrey,CAR,155.1,689.0,4.6,49.6,429.6,2.3,1.6,174.8
Ty Montgomery,GB,162.7,765.9,5.2,43.8,352.8,1.6,1.5,171.6
Mark Ingram,NO,168.0,771.5,5.4,42.2,318.0,2.2,2.5,170.9
Bilal Powell,NYJ,159.8,725.6,4.3,51.9,376.6,1.8,1.2,170.3
Carlos Hyde,SF,229.5,976.0,6.3,28.4,193.0,1.3,5.6,165.6
Joe Mixon,CIN,187.5,781.3,6.3,35.0,277.4,1.0,1.5,164.2
Ameer Abdullah,DET,172.8,726.4,4.5,34.1,288.8,2.0,1.9,153.8
Tevin Coleman,ATL,128.3,561.3,5.1,35.6,364.4,2.6,1.3,153.6
Frank Gore,IND,199.8,771.2,4.8,29.8,232.2,1.6,2.0,149.7
C.J. Anderson,DEN,183.9,781.2,5.1,29.3,227.8,1.0,1.8,148.4
Terrance West,BAL,180.6,725.3,4.8,31.7,224.7,1.1,1.0,143.9
Danny Woodhead,BAL,84.0,355.1,2.3,58.4,472.2,2.9,1.0,141.1
Theo Riddick,DET,80.0,311.0,2.0,60.6,482.4,3.2,0.9,139.0
Paul Perkins,NYG,192.3,784.0,3.7,25.4,218.8,1.0,1.5,137.8
Robert Kelley,WAS,185.8,768.6,5.7,16.3,124.6,0.6,1.5,132.4
Duke Johnson,CLE,83.9,353.7,1.9,56.9,491.8,1.7,1.4,131.7
Eddie Lacy,SEA,163.5,711.0,4.7,19.3,154.4,0.9,1.1,127.4
Mike Gillislee,NE,147.3,693.4,6.7,13.4,101.8,0.4,1.4,125.9
Doug Martin,TB,178.9,710.2,4.9,20.9,166.5,0.8,3.4,125.4
Darren Sproles,PHI,84.9,376.6,2.3,48.2,373.5,1.8,1.2,121.3
Adrian Peterson,NO,151.0,629.8,5.8,22.7,151.6,0.6,4.9,118.0
Matt Forte,NYJ,141.8,578.8,3.4,27.4,221.7,1.2,1.7,117.5
James White,NE,58.9,246.1,2.0,48.3,406.5,3.1,1.4,116.8
Jonathan Stewart,CAR,174.3,715.0,5.4,11.8,90.0,0.5,3.4,115.4
Derrick Henry,TEN,140.5,605.8,4.3,15.9,144.8,0.8,1.2,111.0
Chris Thompson,WAS,59.2,278.4,1.8,47.7,362.5,2.0,1.5,107.7
Giovani Bernard,CIN,98.8,404.4,2.3,35.2,301.0,1.4,1.9,106.4
LeGarrette Blount,PHI,154.6,625.6,5.4,8.3,53.7,0.2,1.9,101.8
Darren McFadden,DAL,123.0,531.6,4.1,20.3,160.0,0.3,2.9,100.1
C.J. Prosise,SEA,54.5,250.5,1.9,36.9,352.4,1.3,1.0,95.8
Shane Vereen,NYG,66.7,288.1,1.5,40.1,317.3,1.6,3.5,92.5
Jamaal Charles,DEN,99.0,439.9,2.9,25.4,201.8,1.0,4.7,90.8
Thomas Rawls,SEA,119.4,489.1,4.0,13.5,103.3,0.3,0.9,89.9
Charles Sims,TB,74.9,291.9,1.4,33.1,291.1,1.7,2.6,88.3
Jamaal Williams,GB,111.4,473.2,3.7,12.9,96.9,0.3,1.6,84.5
Rex Burkhead,NE,92.3,393.6,3.0,18.2,149.6,0.9,1.6,84.1
Dion Lewis,NE,82.4,362.4,2.3,25.5,195.7,1.2,3.7,82.4
DeAndre Washington,OAK,94.6,439.0,2.4,18.9,137.3,0.5,2.1,80.6
Jeremy Hill,CIN,112.8,440.6,3.8,11.2,83.4,0.2,1.3,79.2
Latavius Murray,MIN,107.3,425.4,3.4,16.2,112.4,0.2,2.4,78.9
Robert Turbin,IND,74.1,286.7,2.8,23.4,169.9,1.2,1.1,78.9
Samaje Perine,WAS,105.1,424.3,3.4,13.4,106.4,0.2,1.7,78.2
Jacquizz Rodgers,TB,107.3,456.1,2.4,16.0,114.6,0.2,1.3,78.0
Jalen Richard,OAK,63.9,309.0,1.6,24.3,180.6,1.0,1.2,74.4
Alvin Kamara,NO,51.1,216.7,1.9,29.7,239.0,1.0,1.5,74.2
Matt Breida,SF,87.1,357.5,2.4,19.0,143.9,0.7,1.9,74.1
T.J. Yeldon,JAC,64.8,246.6,1.3,32.1,225.7,0.9,1.5,73.2
Charcandrick West,KC,87.1,339.5,2.4,16.4,129.0,0.7,1.8,69.7
Wendell Smallwood,PHI,90.7,372.2,2.3,14.7,107.9,0.5,2.4,67.2
Marlon Mack,IND,69.9,280.5,2.0,19.3,150.1,0.6,1.3,65.8
Tarik Cohen,CHI,69.2,300.6,1.9,17.7,142.9,0.6,1.9,63.8
D'Onta Foreman,HOU,80.5,320.1,2.3,14.3,102.7,0.2,1.3,61.8
Damien Williams,MIA,54.9,207.9,1.6,18.4,160.1,1.5,1.7,60.9
Jerick McKinnon,MIN,50.9,202.8,0.8,24.5,170.2,0.9,1.3,56.9
Mike Tolbert,BUF,64.8,259.2,2.3,11.8,85.7,0.7,1.1,56.0
Kyle Juszczyk,SF,11.3,45.1,0.3,28.6,224.7,1.5,0.0,52.2
Branden Oliver,LAC,65.7,251.4,1.5,13.8,113.4,0.4,1.9,51.2
Devontae Booker,DEN,64.7,250.7,1.2,14.6,116.1,0.5,3.4,47.8
James Conner,PIT,56.4,229.0,2.1,9.8,75.1,0.2,0.9,46.8
Alfred Morris,DAL,68.1,282.1,1.8,7.0,43.3,0.2,1.3,45.6
Kerwynn Williams,ARI,52.9,251.4,1.7,9.2,69.4,0.2,1.5,45.0
Zach Zenner,DET,43.9,165.9,1.7,12.1,102.8,0.1,0.3,42.8
Javorius Allen,BAL,54.1,209.1,1.0,12.7,89.7,0.3,1.5,40.7
Chris Carson,SEA,41.1,170.8,1.3,10.9,88.8,0.3,1.1,39.0
Andre Ellington,ARI,30.3,123.6,0.8,15.0,122.5,0.4,0.1,38.8
Orleans Darkwa,NYG,52.0,200.0,1.5,8.5,59.5,0.2,1.5,37.5
Donnel Pumphrey,PHI,50.6,203.8,1.0,10.4,77.6,0.2,1.5,36.9
Elijah McGuire,NYJ,44.7,180.8,1.1,10.4,81.4,0.2,1.5,35.6
Chris Ivory,JAC,54.4,214.4,1.5,9.8,75.6,0.1,4.8,33.4
Alfred Blue,HOU,46.7,185.1,0.9,9.8,64.6,0.2,1.7,33.1
Kenyan Drake,MIA,34.7,149.5,1.0,9.6,70.2,0.2,1.3,31.3
Lance Dunbar,LAR,26.4,103.8,0.5,12.6,103.1,0.4,0.8,30.9
Wayne Gallman,NYG,42.0,162.8,1.0,8.4,64.9,0.1,1.8,29.7
Malcolm Brown,LAR,34.4,128.9,0.9,9.2,69.7,0.1,0.8,28.5
Aaron Ripkowski,GB,23.8,110.1,1.3,7.0,51.1,0.4,1.7,26.2
Benny Cunningham,CHI,23.9,102.8,0.6,8.6,66.8,0.1,0.2,25.0
Aaron Jones,GB,29.1,116.6,0.9,5.7,45.0,0.1,0.1,24.6
De'Angelo Henderson,DEN,30.1,117.0,0.5,5.0,48.4,0.0,0.1,22.3
Joe Banyard,BUF,25.8,103.7,0.7,4.6,33.4,0.1,0.0,20.6
C.J. Spiller,KC,20.6,84.2,0.2,7.9,59.2,0.2,0.2,19.7
Raheem Mostert,SF,25.4,107.4,0.7,4.1,30.3,0.2,1.8,17.5
Brian Hill,ATL,23.3,93.5,0.6,2.8,22.0,0.1,0.1,16.9
Jonathan Williams,DEN,20.0,79.0,0.5,5.0,35.0,0.0,0.0,16.9
Jamize Olawale,OAK,11.2,42.5,0.3,6.5,60.3,0.2,0.0,16.5
Andy Janovich,DEN,5.3,27.5,0.6,6.7,54.0,0.1,0.0,16.1
Terron Ward,ATL,19.2,81.1,0.3,3.1,26.9,0.0,0.1,14.1
Alex Collins,BAL,20.0,80.0,0.0,5.0,36.0,0.0,0.0,14.1
Fozzy Whittaker,CAR,14.8,63.1,0.2,5.1,40.0,0.0,0.2,13.8
Dwayne Washington,DET,19.3,71.2,0.4,3.6,23.8,0.0,0.1,13.4
Tyler Ervin,HOU,7.6,29.4,0.2,5.7,46.3,0.2,0.0,12.7
Cameron Artis-Payne,CAR,15.2,60.8,0.7,1.0,11.8,0.0,0.2,11.4
Patrick DiMarco,BUF,5.4,19.9,0.1,5.2,39.3,0.2,0.0,10.4
Mack Brown,WAS,9.0,39.0,0.4,2.2,14.4,0.0,0.1,8.6
Taiwan Jones,BUF,12.1,49.5,0.4,0.5,7.0,0.1,0.2,8.2
Khalfani Muhammad,TEN,11.0,38.0,0.2,2.0,14.0,0.1,0.1,7.8
Terrell Watson,PIT,9.3,37.7,0.1,2.4,17.1,0.0,0.0,7.6
Jalston Fowler,TEN,6.0,20.1,0.1,2.7,26.4,0.1,0.0,7.4
Derek Watt,LAC,3.5,13.6,0.1,3.2,33.2,0.0,0.0,7.3
Corey Grant,JAC,8.9,36.1,0.2,1.4,13.2,0.1,0.2,7.1
Rod Smith,DAL,5.7,19.3,0.2,2.6,18.1,0.1,0.0,7.1
Peyton Barber,TB,9.3,39.1,0.3,1.6,11.5,0.0,0.2,7.0
Devante Mays,GB,8.7,35.0,0.3,1.0,8.0,0.1,0.1,6.4
Matthew Dayes,CLE,11.9,45.9,0.3,0.0,0.0,0.0,0.0,6.4
Daniel Lasco,NO,5.5,19.7,0.1,2.3,16.0,0.1,0.1,5.4
James Develin,NE,3.2,10.2,0.1,2.9,22.0,0.0,0.0,5.2
Keith Smith,DAL,3.7,16.1,0.2,2.2,14.2,0.0,0.0,5.0
Dan Vitale,CLE,3.1,11.1,0.1,2.5,16.2,0.0,0.0,4.3
Jay Prosch,HOU,3.3,11.4,0.1,1.7,14.5,0.0,0.0,4.0
T.J. Logan,ARI,6.0,25.0,0.0,1.0,7.0,0.0,0.0,3.7
Anthony Sherman,KC,3.8,15.5,0.1,1.5,8.1,0.0,0.0,3.4
Marcus Murphy,NYJ,5.0,18.0,0.1,1.0,8.0,0.0,0.2,3.3
Roosevelt Nix,PIT,1.6,5.3,0.0,1.7,9.8,0.0,0.0,2.6
Akeem Hunt,KC,2.5,14.5,0.0,1.0,6.0,0.0,0.2,2.2
Sam Rogers,LAR,2.0,5.0,0.0,1.0,6.0,0.0,0.0,1.6
Michael Burton,CHI,1.0,1.0,0.0,1.0,8.0,0.1,0.2,1.6
Ka'Deem Carey,CHI,2.0,9.5,0.0,0.5,3.0,0.0,0.1,1.3
Fitzgerald Toussaint,PIT,2.5,10.0,0.0,0.0,0.0,0.0,0.0,1.0
Jeremy Langford,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senorise Perry,MIA,8.4,35.7,0.3,5.5,42.1,0.0,0.0,0.0
Brandon Bolden,NE,6.0,21.9,0.1,2.2,15.7,0.0,0.0,0.0
Joe Kerridge,GB,4.4,14.7,0.1,2.8,16.6,0.0,0.0,0.0
Austin Johnson,TB,8.3,33.8,0.1,3.8,30.4,0.0,0.0,0.0
Ryan Hewitt,CIN,3.9,10.8,0.1,1.7,12.8,0.0,0.0,0.0
Mike Davis,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
