player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection

Todd Gurley,LAR,289.2,1299.6,11.1,66.0,636.4,3.7,2.7,310.1
Le'Veon Bell,PIT,289.8,1249.6,9.4,80.3,649.1,2.9,2.3,299.1
David Johnson,ARI,280.5,1084.4,8.6,75.3,745.5,3.2,3.3,285.1
Ezekiel Elliott,DAL,316.4,1417.2,10.7,42.7,378.7,1.9,1.8,273.0
Alvin Kamara,NO,165.8,782.3,6.7,73.8,706.6,4.1,1.0,248.4
Melvin Gordon,LAC,277.1,1086.7,7.8,56.1,471.6,2.5,1.4,242.9
Kareem Hunt,KC,246.7,1117.4,8.2,52.1,414.3,2.2,1.7,237.9
Leonard Fournette,JAC,291.4,1192.9,9.6,41.8,345.6,1.4,1.4,237.8
Saquon Barkley,NYG,260.2,1114.6,7.4,55.8,424.0,2.1,1.5,235.6
Christian McCaffrey,CAR,180.6,683.1,4.3,74.7,672.2,4.2,1.1,221.7
Dalvin Cook,MIN,257.4,1102.3,7.4,43.4,353.9,1.8,1.9,218.4
Devonta Freeman,ATL,221.0,965.8,7.9,44.9,382.4,1.9,1.6,212.9
LeSean McCoy,BUF,215.3,919.6,5.4,43.8,359.0,1.7,1.4,189.3
Jordan Howard,CHI,250.3,1069.8,7.7,27.1,195.3,0.7,1.3,188.1
Joe Mixon,CIN,230.3,909.8,6.7,37.7,302.5,1.1,2.0,182.9
Alex Collins,BAL,231.8,995.4,6.8,29.1,228.5,0.9,2.5,177.7
Derrick Henry,TEN,216.6,953.6,7.0,20.4,196.7,1.0,1.2,171.0
Kenyan Drake,MIA,185.7,824.3,5.2,41.4,320.6,1.2,1.7,170.6
Lamar Miller,HOU,219.6,869.7,4.6,36.3,287.7,1.7,1.2,169.4
Royce Freeman,DEN,204.0,859.6,5.6,32.4,263.4,1.1,1.6,165.5
Jay Ajayi,PHI,222.3,969.7,5.6,26.1,196.8,0.9,2.2,164.0
Tevin Coleman,ATL,148.7,626.0,4.6,33.1,305.3,2.0,0.9,147.4
Rex Burkhead,NE,130.1,544.3,5.5,35.1,301.0,2.0,0.8,145.8
Mark Ingram,NO,149.5,660.0,5.6,33.3,240.1,1.1,1.5,143.8
Marshawn Lynch,OAK,185.0,777.3,6.1,22.5,165.9,0.5,1.1,143.4
Dion Lewis,TEN,131.3,602.7,3.7,41.5,307.1,1.8,1.4,142.0
Carlos Hyde,CLE,178.0,744.6,5.2,28.1,198.3,0.7,1.8,139.9
Marlon Mack,IND,153.0,622.3,4.3,29.3,278.2,1.6,1.0,137.8
