player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,208.0,945.2,5.0,80.7,680.7,2.4,3.0,308.1
Jonathan Taylor,IND,302.0,1284.7,12.2,35.0,277.1,1.2,4.0,276.1
Austin Ekeler,LAC,190.0,855.0,8.1,65.6,610.8,3.3,3.0,290.6
Derrick Henry,TEN,344.4,1362.3,10.9,20.0,145.0,0.0,4.0,256.9
Alvin Kamara,NO,143.0,715.0,6.0,55.3,480.1,3.1,3.0,254.9
Najee Harris,PIT,276.2,1111.8,6.1,44.1,298.4,1.2,4.0,245.7
Joe Mixon,CIN,269.6,1129.7,8.9,40.0,279.9,2.0,3.0,258.0
Dalvin Cook,MIN,253.0,1137.0,8.7,36.1,251.7,0.7,4.0,246.0
Leonard Fournette,TB,211.0,861.0,8.0,43.3,278.1,1.0,3.0,255.8
Aaron Jones,GB,171.0,816.6,5.0,56.0,421.1,3.0,3.0,238.8
D'Andre Swift,DET,197.6,824.7,4.8,50.7,342.5,1.5,3.0,217.2
Saquon Barkley,NYG,223.1,902.8,5.0,51.6,411.0,1.5,3.0,233.5
James Conner,ARI,214.0,872.0,8.8,39.0,306.5,1.5,3.0,238.3
Javonte Williams,DEN,217.0,953.0,6.0,40.0,298.0,2.0,3.0,233.6
David Montgomery,CHI,220.4,881.7,6.9,39.2,309.1,1.0,3.0,218.8
Nick Chubb,CLE,220.0,1042.6,7.0,22.5,185.0,0.9,3.0,196.8
Ezekiel Elliott,DAL,209.5,880.2,6.9,34.0,211.0,1.0,3.0,213.4
Cam Akers,LAR,217.0,887.0,5.0,30.0,224.0,1.0,5.0,206.5
Breece Hall,NYJ,188.0,807.0,6.0,34.1,249.3,1.0,3.0,213.1
Josh Jacobs,LV,204.0,796.0,7.5,24.6,169.5,0.0,3.0,206.5
J.K. Dobbins,BAL,177.0,884.5,5.9,24.3,177.2,0.0,2.0,188.3
Elijah Mitchell,SF,200.0,861.0,6.0,13.0,95.0,0.9,3.0,189.8
Antonio Gibson,WAS,180.0,738.0,5.0,26.8,188.1,1.0,3.0,164.5
Miles Sanders,PHI,191.0,918.9,4.0,28.1,182.4,0.9,2.0,182.2
Damien Harris,NE,189.5,822.5,8.8,12.8,92.6,0.0,2.0,172.8
Cordarrelle Patterson,ATL,127.0,521.0,3.2,39.0,323.7,1.9,2.0,167.6
Tony Pollard,DAL,135.0,612.2,3.0,36.1,269.8,1.0,3.0,180.1
Travis Etienne Jr.,JAC,152.4,251.9,1.8,11.7,76.6,0.3,3.0,90.2
Clyde Edwards-Helaire,KC,153.4,692.7,5.0,34.0,252.0,1.1,2.0,177.0
Devin Singletary,BUF,156.7,712.8,4.3,27.0,170.6,1.0,2.0,154.0
AJ Dillon,GB,166.0,735.9,4.9,22.3,206.7,1.0,2.0,161.5
Rhamondre Stevenson,NE,154.1,557.8,4.2,19.7,143.4,0.0,2.0,131.0
Chase Edmonds,MIA,108.8,508.4,2.7,33.2,227.5,1.0,2.0,156.5
Kareem Hunt,CLE,122.6,441.9,3.9,31.2,242.1,1.0,2.0,141.8
Rashaad Penny,SEA,162.0,744.0,4.7,8.0,64.0,0.0,2.0,136.8
Melvin Gordon III,DEN,138.7,603.7,5.0,19.0,138.0,0.9,3.0,142.8
James Robinson,JAC,115.0,494.0,4.1,21.3,154.0,0.0,2.0,134.0
Dameon Pierce,HOU,131.0,536.0,3.6,22.7,166.4,0.0,3.0,126.1
James Cook,BUF,84.6,364.5,2.5,19.0,179.0,1.0,2.0,124.7
Ken Walker III,SEA,146.0,598.0,3.8,12.0,81.0,0.0,3.0,128.4
Michael Carter,NYJ,98.9,420.0,2.0,21.4,164.6,0.0,2.0,125.4
J.D. McKissic,WAS,31.0,124.0,0.0,34.2,270.0,1.5,1.0,106.0
Nyheim Hines,IND,29.0,96.1,0.6,27.8,249.9,0.9,4.0,90.8
Darrell Henderson Jr.,LAR,90.7,399.0,3.0,18.0,133.7,0.9,2.0,106.3
Kenneth Gainwell,PHI,76.7,299.5,2.6,15.2,104.9,0.8,2.0,103.2
Jamaal Williams,DET,107.8,436.5,2.5,19.1,125.6,0.5,2.0,98.7
Alexander Mattison,MIN,102.0,367.6,2.0,22.2,159.1,0.8,2.0,101.9
Marlon Mack,HOU,104.0,449.3,2.7,6.0,31.0,0.0,2.0,83.7
Raheem Mostert,MIA,83.7,393.7,2.4,5.0,38.0,0.5,2.0,90.3
Isaiah Spiller,LAC,44.6,193.2,1.4,13.4,97.8,0.6,2.0,67.8
Rex Burkhead,HOU,59.5,227.0,1.9,16.7,136.9,0.6,1.0,92.9
Mark Ingram II,NO,115.0,437.0,3.0,15.6,112.2,0.0,2.0,95.7
Tyler Allgeier,ATL,72.0,317.0,2.0,9.0,56.0,0.0,3.0,67.8
Rachaad White,TB,76.5,325.6,2.5,7.0,50.0,0.0,2.0,76.4
Brian Robinson Jr.,WAS,80.0,326.0,3.0,3.0,22.0,0.0,2.0,98.9
Gus Edwards,BAL,101.4,422.1,2.9,5.0,38.0,0.0,1.0,85.6
Kenyan Drake,LV,63.6,266.7,1.7,10.7,77.8,0.5,1.0,76.9
Darrel Williams,ARI,58.0,228.6,1.8,13.0,109.0,0.0,2.0,69.9
Khalil Herbert,CHI,96.0,166.5,1.2,7.9,74.0,0.0,2.0,50.2
Jerick McKinnon,KC,20.0,82.0,0.0,19.0,133.0,1.0,1.0,77.3
Damien Williams,ATL,43.0,154.1,0.0,9.0,63.0,0.0,2.0,67.0
Isiah Pacheco,KC,53.2,220.7,2.2,6.0,37.0,0.0,2.0,64.2
Dontrell Hilliard,TEN,31.1,129.9,0.0,20.0,137.0,0.0,2.0,65.5
Ronald Jones II,KC,26.4,114.7,1.0,5.0,37.0,0.0,1.0,37.8
Zamir White,LV,54.0,245.0,2.0,4.0,27.0,0.0,2.0,49.9
D'Onta Foreman,CAR,61.5,247.6,1.0,4.0,36.0,0.0,1.2,55.0
Samaje Perine,CIN,44.1,116.9,0.8,9.0,60.6,0.0,1.0,49.8
Sony Michel,MIA,84.0,189.7,1.4,6.6,42.2,0.0,1.0,40.9
Matt Breida,NYG,35.9,163.7,0.9,6.5,49.5,0.0,3.0,40.2
Boston Scott,PHI,36.0,170.0,2.0,4.0,28.0,0.0,0.4,46.3
Kyle Juszczyk,SF,9.9,6.4,0.2,13.1,111.9,0.8,0.3,49.1
Hassan Haskins,TEN,49.0,186.0,1.0,3.0,19.0,0.0,2.0,34.7
Tyrion Davis-Price,SF,32.0,127.0,1.0,3.0,17.0,0.0,2.0,44.9
Chuba Hubbard,CAR,20.5,83.7,0.5,7.0,47.0,0.0,1.0,32.8
Ameer Abdullah,LV,4.4,17.4,0.0,4.3,30.9,0.0,1.0,25.8
Brandon Bolden,LV,4.4,18.5,0.2,4.3,37.0,0.0,1.0,23.0
Chris Evans,CIN,13.2,53.1,0.0,10.5,71.2,0.4,0.2,33.6
D'Ernest Johnson,CLE,22.4,98.5,0.7,3.9,26.3,0.0,0.1,27.5
Justin Jackson,DET,18.0,76.6,0.5,3.0,24.0,0.0,0.4,28.2
Jeff Wilson Jr.,SF,21.0,82.0,0.6,3.8,23.1,0.0,1.0,25.3
Ke'Shawn Vaughn,TB,8.7,35.1,0.3,4.5,32.0,0.0,1.0,16.7
Joshua Kelley,LAC,0.0,0.0,0.0,5.0,35.0,0.0,1.4,43.6
Phillip Lindsay,IND,35.3,149.8,1.0,1.0,12.0,0.0,0.3,26.4
Eno Benjamin,ARI,11.6,45.9,0.3,3.0,32.9,0.0,0.3,17.5
Mike Davis,BAL,10.3,39.6,0.0,3.0,23.0,0.0,1.0,20.8
Ty Montgomery,NE,9.0,33.0,0.0,6.0,45.0,0.0,0.2,27.7
Tevin Coleman,NYJ,8.6,36.7,0.0,2.0,14.6,0.0,1.0,16.5
Travis Homer,SEA,6.7,27.6,0.0,3.9,27.3,0.0,0.1,18.1
Craig Reynolds,DET,9.0,36.2,0.2,2.6,22.1,0.1,1.0,17.3
DeeJay Dallas,SEA,6.7,26.5,0.0,3.0,20.0,0.0,0.2,17.9
Duke Johnson Jr.,BUF,4.6,19.4,0.0,0.0,0.0,-0.1,1.0,11.8
Myles Gaskin,MIA,11.4,45.1,0.0,2.1,12.8,0.0,0.5,17.0
Giovani Bernard,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.1,30.4
Zack Moss,BUF,20.0,81.1,0.9,2.0,15.0,0.0,0.1,19.8
J.J. Taylor,NE,9.7,38.9,0.3,1.0,2.0,0.0,0.2,13.8
Jermar Jefferson,DET,4.5,18.1,0.2,4.0,26.0,0.0,0.0,11.2
Anthony McFarland Jr.,PIT,8.8,34.7,0.3,2.2,15.3,0.1,0.2,14.5
Ryquell Armstead,JAC,4.5,17.8,0.2,2.0,15.3,0.1,0.2,12.5
Benny Snell Jr.,PIT,21.9,73.3,0.4,2.3,16.8,0.0,0.2,15.2
Patrick Ricard,BAL,0.0,0.0,0.0,7.4,49.8,0.3,0.0,18.9
Demetric Felton Jr.,CLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.4
Gary Brightwell,NYG,4.5,17.9,0.2,4.3,28.5,0.0,0.1,12.3
Tory Carter,TEN,0.0,0.0,0.0,3.9,28.4,0.2,0.0,10.9
Trey Sermon,SF,9.3,39.4,0.3,1.7,11.8,0.0,0.1,12.1
C.J. Ham,MIN,2.1,2.1,0.1,4.3,32.7,0.2,0.1,19.1
Pierre Strong Jr.,NE,12.4,51.9,0.5,3.0,28.0,0.0,0.1,15.5
Jaret Patterson,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13.1
Ryan Nall,DAL,0.0,29.4,0.2,7.1,63.1,0.3,0.0,19.7
Tony Jones Jr.,NO,16.9,22.2,0.0,3.0,11.3,0.0,0.0,9.6
Kene Nwangwu,MIN,8.8,35.5,0.2,2.0,16.0,0.0,0.1,12.8
JaMycal Hasty,SF,5.1,0.0,0.0,0.6,5.2,0.0,0.0,7.0
Keaontay Ingram,ARI,12.2,50.4,0.0,2.2,15.8,0.0,0.1,12.4
Snoop Conner,JAC,17.0,66.0,0.0,3.0,19.0,0.0,0.1,24.3
