player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,SF,246.0,1107.0,9.8,87.0,675.3,5.4,0.0,398.0
Austin Ekeler,LAC,214.3,1026.2,11.0,85.0,674.0,5.0,0.6,392.4
Saquon Barkley,NYG,302.5,1385.9,10.8,54.5,429.8,2.2,0.3,313.4
Tony Pollard,DAL,291.3,1389.3,11.1,53.2,473.5,2.9,0.0,309.7
Bijan Robinson,ATL,298.2,1399.6,10.6,49.6,395.4,2.8,1.2,285.5
Josh Jacobs,LV,282.7,1443.2,10.6,49.0,377.0,1.7,1.0,325.3
Derrick Henry,TEN,333.2,1537.8,10.8,39.0,345.4,1.4,1.6,309.4
Nick Chubb,CLE,350.6,1736.1,11.3,31.4,274.3,1.6,0.9,291.2
Joe Mixon,CIN,261.2,1149.2,9.7,62.2,524.0,2.9,0.5,341.7
Jonathan Taylor,IND,335.4,1607.7,10.0,39.1,288.0,2.0,1.4,269.0
Aaron Jones,GB,224.7,1134.2,9.1,55.3,487.9,3.0,0.6,310.9
Najee Harris,PIT,299.5,1269.2,9.0,44.0,296.5,3.0,0.5,260.4
Rhamondre Stevenson,NE,251.3,1125.0,8.1,55.0,432.4,2.2,0.5,253.3
Travis Etienne Jr.,JAC,255.7,1193.5,8.7,40.2,322.5,1.8,1.6,256.4
James Conner,ARI,262.1,1126.2,7.5,43.0,330.5,1.7,0.5,272.7
Alexander Mattison,MIN,250.6,1113.1,9.1,39.5,260.5,2.2,0.7,263.1
Jahmyr Gibbs,DET,200.3,899.8,7.8,48.1,416.0,2.7,0.8,242.5
Kenneth Walker III,SEA,273.3,1240.8,9.1,29.9,213.6,1.0,0.0,230.8
Rachaad White,TB,244.6,1050.6,6.7,55.0,438.7,3.5,1.4,266.8
Dameon Pierce,HOU,271.3,1170.8,7.2,37.1,267.7,1.4,1.6,237.0
Breece Hall,NYJ,233.4,1084.2,6.7,42.6,376.4,2.1,0.3,228.1
Miles Sanders,CAR,255.2,1181.9,8.2,41.0,297.9,1.4,1.0,221.2
Alvin Kamara,NO,188.0,773.9,5.0,49.4,448.9,2.3,0.6,231.7
