name,team,rushing_att,rushing_yds,rushing_tds,receiving_rec,receiving_yds,receiving_tds,fumbles_lost,fp_projection

David Johnson,ARI,281.5,1180.6,11.8,75.2,747.5,4.1,3.1,357.7
Le'Veon Bell,PIT,293.1,1339.9,9.2,76.6,628.1,2.3,2.6,337.1
LeSean McCoy,BUF,240.7,1172.4,9.2,47.9,371.1,1.8,1.5,265.3
Devonta Freeman,ATL,215.9,950.2,8.6,55.1,475.5,2.6,1.9,260.7
Melvin Gordon,LAC,274.3,1092.3,8.1,46.7,402.9,1.9,2.9,250.5
Jordan Howard,CHI,267.5,1246.5,7.1,34.6,304.1,1.3,1.8,236.4
Jay Ajayi,MIA,268.4,1203.5,8.3,35.7,254.2,1.4,1.7,236.4
DeMarco Murray,TEN,245.0,1056.6,7.2,44.7,323.9,2.1,1.9,234.6
Todd Gurley,LAR,275.0,1036.5,8.0,38.7,296.3,1.0,1.7,222.4
Lamar Miller,HOU,263.1,1068.5,6.4,35.8,258.6,1.3,1.8,210.9
Leonard Fournette,JAC,237.1,1027.1,7.0,30.8,235.2,1.4,1.9,203.7
Isaiah Crowell,CLE,217.2,944.7,6.3,37.2,294.9,0.7,1.8,199.5
Christian McCaffrey,CAR,154.4,682.3,4.3,49.7,434.8,2.4,1.4,199.1
Dalvin Cook,MIN,197.4,828.7,6.5,38.3,303.2,1.6,1.8,196.4
Ty Montgomery,GB,159.1,746.3,5.2,45.1,363.8,1.7,1.3,195.0
Bilal Powell,NYJ,160.5,727.5,4.1,52.1,378.1,1.7,1.6,193.9
Ezekiel Elliott,DAL,200.4,970.3,7.2,25.4,241.0,1.0,1.5,192.7
Mark Ingram,NO,165.7,764.2,5.3,42.3,314.4,2.2,1.8,191.5
Marshawn Lynch,OAK,200.3,838.5,8.1,31.3,231.7,1.0,1.6,189.7
Spencer Ware,KC,199.0,847.1,6.2,31.9,293.3,1.2,3.1,184.1
Joe Mixon,CIN,182.6,763.3,6.0,34.8,277.5,1.0,1.8,177.1
Carlos Hyde,SF,217.7,920.8,5.9,27.6,189.0,1.2,3.8,173.9
Tevin Coleman,ATL,130.5,569.7,5.2,35.6,365.2,2.5,1.2,172.9
Theo Riddick,DET,78.8,301.2,2.0,61.6,489.6,3.4,1.0,170.8
Ameer Abdullah,DET,172.8,728.5,4.4,33.8,282.9,2.0,1.5,170.6
Danny Woodhead,BAL,82.1,344.7,2.2,59.7,477.6,2.9,1.0,170.6
Frank Gore,IND,207.1,791.9,4.7,30.2,229.8,1.5,2.0,165.4
Duke Johnson,CLE,86.5,368.0,1.9,57.2,497.9,1.8,1.2,163.8
