name,team,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fp_projection

Rob Gronkowski,NE,72.6,1054.2,9.6,0.3,198.5
Travis Kelce,KC,82.6,1040.6,5.7,0.7,178.1
Greg Olsen,CAR,77.6,1006.9,5.6,0.3,172.8
Jordan Reed,WAS,77.1,845.0,6.7,2.4,158.7
Jimmy Graham,SEA,64.5,819.7,6.6,1.9,150.0
Kyle Rudolph,MIN,75.8,760.8,5.8,0.3,148.2
Zach Ertz,PHI,74.7,792.4,4.8,0.4,144.8
Tyler Eifert,CIN,57.1,721.7,6.4,0.3,138.4
Delanie Walker,TEN,61.5,733.5,5.4,0.3,135.6
Martellus Bennett,GB,61.1,669.9,6.2,0.3,134.2
Eric Ebron,DET,63.5,720.5,4.2,0.2,128.5
Hunter Henry,LAC,50.0,624.7,6.2,1.4,121.6
Jack Doyle,IND,60.2,609.0,5.1,1.4,118.6
Coby Fleener,NO,53.2,634.0,4.5,0.3,116.7
Jason Witten,DAL,64.1,633.5,3.8,1.7,114.8
Charles Clay,BUF,54.6,567.9,4.1,0.3,108.0
Austin Hooper,ATL,43.7,531.4,5.1,0.2,105.4
Cameron Brate,TB,46.4,533.5,4.4,0.3,102.6
C.J. Fiedorowicz,HOU,52.0,540.9,3.7,0.5,101.5
Jared Cook,OAK,48.9,565.7,4.0,2.0,101.1
Julius Thomas,MIA,45.8,478.2,4.8,0.3,98.7
Evan Engram,NYG,47.2,497.7,3.3,0.5,92.5
Antonio Gates,LAC,43.0,468.4,4.5,1.6,92.4
Zach Miller,CHI,41.5,450.0,3.4,0.4,85.3
David Njoku,CLE,44.4,460.0,2.8,0.5,84.2
Jermaine Gresham,ARI,40.1,429.0,3.1,0.4,81.0
O.J. Howard,TB,37.8,401.5,3.2,0.5,77.3
Austin Seferian-Jenkins,NYJ,34.4,407.2,2.4,0.3,71.8
Tyler Higbee,LAR,34.5,338.8,2.9,0.3,67.9
Vance McDonald,PIT,27.3,342.2,3.0,0.2,65.7
Benjamin Watson,BAL,35.3,354.2,2.3,1.1,64.8
George Kittle,SF,31.4,331.6,2.5,0.6,62.6
Jesse James,PIT,32.3,315.7,2.3,0.2,61.2
Vernon Davis,WAS,27.3,334.4,2.2,0.4,59.2
Dwayne Allen,NE,23.2,268.7,3.2,0.1,57.4
Ryan Griffin,HOU,30.8,303.0,1.7,1.1,53.8
Virgil Green,DEN,25.1,278.7,1.7,0.4,49.7
Garrett Celek,SF,24.3,273.8,2.0,1.1,49.1
Marcedes Lewis,JAC,27.0,265.4,1.5,0.4,48.4
Adam Shaheen,CHI,24.1,250.4,1.8,0.6,46.4
A.J. Derby,DEN,27.0,269.1,1.8,2.5,46.3
Gerald Everett,LAR,24.3,255.7,1.4,0.4,45.2
Clive Walford,OAK,21.9,238.0,1.8,0.3,45.0
Trey Burton,PHI,23.4,224.1,1.8,0.3,44.3
Seth DeValve,CLE,21.8,216.8,2.0,0.3,44.1
Josh Hill,NO,22.7,223.3,1.5,0.3,41.9
Maxx Williams,BAL,22.8,219.4,1.4,0.2,41.5
Nick Boyle,BAL,21.8,188.2,1.0,0.2,35.1
Dion Sims,CHI,17.5,170.3,1.4,0.1,33.9
Demetrius Harris,KC,18.9,179.8,1.0,0.4,32.8
Jonnu Smith,TEN,16.2,171.0,1.3,0.4,32.2
Ben Koyack,JAC,16.7,170.3,1.2,0.1,32.1
Levine Toilolo,ATL,14.9,168.0,1.1,0.2,30.7
Rico Gathers,DAL,15.0,164.0,1.0,0.0,29.9
Anthony Fasano,MIA,14.8,165.6,0.7,0.3,27.6
Will Tye,NYJ,16.4,163.9,0.6,0.3,27.6
Ed Dickson,CAR,13.1,151.3,1.1,0.3,27.5
Luke Willson,SEA,14.0,150.6,1.0,0.2,27.4
MarQueis Gray,MIA,14.0,147.1,0.9,0.3,26.7
Mychal Rivera,JAC,15.0,141.0,1.0,0.4,26.5
Richard Rodgers,GB,13.8,133.5,0.8,0.1,24.7
Stephen Anderson,HOU,13.9,133.6,0.8,0.3,24.5
Lance Kendricks,GB,12.1,119.9,1.1,0.3,23.8
Troy Niklas,ARI,11.5,113.0,0.9,0.1,22.0
Nick O'Leary,BUF,9.6,108.3,0.6,0.1,19.3
Xavier Grimble,PIT,9.0,96.8,0.8,0.0,19.1
Jerell Adams,NYG,10.2,95.9,0.6,0.1,18.3
Jeff Heuerman,DEN,9.4,104.0,0.5,0.1,18.1
Jordan Leggett,NYJ,9.1,92.9,0.6,0.0,17.6
Brent Celek,PHI,9.5,107.8,0.3,0.1,17.3
Logan Paulsen,SF,8.9,92.0,0.6,0.0,17.2
Darren Fells,DET,8.5,94.7,0.6,0.1,16.8
Michael Roberts,DET,9.0,94.4,0.4,0.0,16.5
Geoff Swaim,DAL,8.1,81.6,0.7,0.1,16.0
Rhett Ellison,NYG,8.4,86.0,0.6,0.1,15.9
C.J. Uzomah,CIN,8.8,88.1,0.4,0.1,15.7
Nick Vannett,SEA,7.6,79.8,0.4,0.0,14.5
John Phillips,NO,8.0,58.0,0.7,0.1,13.8
Chris Manhertz,CAR,5.5,65.9,0.7,0.0,13.7
Ross Travis,KC,6.7,73.4,0.5,0.1,13.5
Brandon Williams,IND,6.4,68.7,0.5,0.1,13.1
Daniel Brown,CHI,8.0,70.0,0.3,0.1,12.3
David Morgan,MIN,7.0,60.6,0.4,0.0,12.1
James Hanna,DAL,7.0,70.9,0.2,0.0,12.0
Tyler Kroft,CIN,7.0,71.5,0.2,0.1,11.6
Joshua Perkins,ATL,3.7,53.0,0.6,0.0,10.9
Michael Hoomanawanui,NO,5.7,52.1,0.6,0.5,10.7
Jake Butt,DEN,4.9,51.2,0.5,0.0,10.6
Niles Paul,WAS,5.2,62.2,0.3,0.1,10.5
Luke Stocker,TB,7.2,51.8,0.3,0.1,10.3
Lee Smith,OAK,6.5,46.7,0.4,0.1,9.9
Ifeanyi Momah,ARI,4.2,55.4,0.4,0.1,9.8
Alan Cross,TB,4.4,43.2,0.5,0.0,9.4
Randall Telfer,CLE,5.5,50.8,0.3,0.1,9.2
Jeremy Sprinkle,WAS,5.0,48.0,0.3,0.0,9.1
Matt LaCosse,NYG,5.2,47.8,0.3,0.0,9.0
Sean McGrath,LAC,3.8,45.1,0.4,0.1,8.7
MyCole Pruitt,BUF,6.0,50.0,0.1,0.1,8.4
Ben Braunecker,CHI,4.5,45.8,0.2,0.1,8.0
Mason Schreck,CIN,4.0,41.0,0.3,0.0,7.9
James O'Shaughnessy,JAC,4.4,43.4,0.2,0.1,7.7
Eric Saubert,ATL,3.9,43.6,0.2,0.0,7.5
Clay Harbor,NO,5.0,35.3,0.3,0.1,7.3
Khari Lee,BUF,4.0,35.0,0.2,0.0,6.7
Logan Thomas,BUF,3.0,31.0,0.3,0.0,6.4
Phillip Supernaw,TEN,3.4,38.3,0.1,0.2,5.9
Blake Bell,MIN,2.6,36.4,0.2,0.1,5.8
Temarrick Hemingway,LAR,3.0,29.0,0.1,0.0,5.0
Scott Simonson,CAR,3.0,31.0,0.0,0.0,4.6
