player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,94.0,1188.0,8.0,0.8,170.1
George Kittle,SF,82.0,1148.7,6.0,0.3,150.4
Zach Ertz,PHI,85.0,872.1,6.4,0.5,132.6
O.J. Howard,TB,48.1,775.0,5.2,0.6,109.5
Evan Engram,NYG,65.8,785.0,4.8,0.3,110.9
Jared Cook,NO,52.1,725.3,5.4,0.3,104.9
Hunter Henry,LAC,50.2,644.3,4.6,0.4,92.1
Vance McDonald,PIT,53.9,629.0,4.7,0.6,93.9
David Njoku,CLE,45.8,518.2,3.6,0.3,73.6
Austin Hooper,ATL,57.8,536.9,3.8,0.2,84.4
Mark Andrews,BAL,41.6,582.0,3.6,0.3,82.2
Jordan Reed,WAS,51.0,525.0,3.3,0.6,76.5
Delanie Walker,TEN,53.0,568.0,3.9,0.4,80.7
Greg Olsen,CAR,42.0,505.0,3.7,0.3,74.7
Jimmy Graham,GB,48.8,513.1,2.9,0.3,69.1
Trey Burton,CHI,44.8,492.1,3.9,0.4,75.3
Kyle Rudolph,MIN,49.1,457.6,3.6,0.2,66.6
T.J. Hockenson,DET,42.6,470.6,3.6,0.3,68.1
Eric Ebron,IND,39.3,446.9,2.6,0.3,64.1
Tyler Eifert,CIN,38.6,454.5,3.0,0.2,63.5
Noah Fant,DEN,40.3,458.7,2.9,0.3,62.5
Jack Doyle,IND,37.0,399.0,3.0,0.5,59.5
Jason Witten,DAL,41.0,425.4,2.8,0.3,59.1
Chris Herndon IV,NYJ,35.5,423.3,3.5,0.2,65.6
Darren Waller,OAK,29.8,307.9,2.0,0.3,44.8
Dallas Goedert,PHI,19.8,210.6,1.3,0.3,29.0
Will Dissly,SEA,25.8,315.7,2.0,0.2,48.6
Mike Gesicki,MIA,23.7,236.5,1.2,0.3,30.7
Vernon Davis,WAS,24.0,277.6,1.3,0.2,41.7
Gerald Everett,LAR,25.7,278.6,2.0,0.3,40.2
Geoff Swaim,JAC,28.9,278.9,1.6,0.2,39.2
Cameron Brate,TB,21.0,229.0,2.0,0.2,37.6
Charles Clay,ARI,24.8,252.5,1.3,0.2,33.2
Benjamin Watson,NE,14.2,162.4,1.1,0.2,23.1
Irv Smith Jr.,MIN,23.2,241.0,1.9,0.2,35.0
Blake Jarwin,DAL,10.8,120.4,0.9,0.1,17.5
Ian Thomas,CAR,15.6,181.7,1.3,0.1,26.7
Nick Vannett,SEA,16.8,186.1,1.2,0.1,27.3
Dawson Knox,BUF,20.5,262.0,1.2,0.1,33.4
Jesse James,DET,18.9,175.8,1.4,0.1,26.9
Jace Sternberger,GB,20.0,204.0,2.0,0.0,0.0
Tyler Higbee,LAR,13.3,153.3,1.0,0.1,23.7
Hayden Hurst,BAL,12.5,148.1,1.1,0.2,21.3
C.J. Uzomah,CIN,17.1,164.8,0.8,0.1,20.8
Jeff Heuerman,DEN,12.0,117.0,1.0,0.1,17.7
Adam Shaheen,CHI,11.4,114.8,1.4,0.1,19.8
Tyler Kroft,BUF,12.5,132.7,1.0,0.1,18.9
Matt LaCosse,NE,13.6,151.3,1.0,0.1,22.8
Jordan Akins,HOU,3.4,42.6,0.2,0.2,5.8
Nick O'Leary,MIA,11.8,153.2,1.0,0.1,22.6
Jonnu Smith,TEN,9.1,100.5,0.6,0.1,13.8
Rhett Ellison,NYG,9.8,110.6,0.8,0.1,16.2
Josh Oliver,JAC,15.0,176.6,0.8,0.1,22.3
James O'Shaughnessy,JAC,11.4,115.9,0.6,0.1,14.9
Josh Hill,NO,11.0,126.8,1.0,0.1,18.9
Ed Dickson,SEA,6.4,75.6,1.0,0.0,0.0
Darren Fells,HOU,9.3,104.5,0.9,0.1,15.9
Virgil Green,LAC,10.9,121.2,0.9,0.1,17.7
Jordan Thomas,HOU,0.0,0.0,0.0,0.0,0.0
Maxx Williams,ARI,9.0,107.0,0.0,0.2,10.7
Xavier Grimble,PIT,7.6,103.5,0.5,0.1,13.2
Ryan Griffin,NYJ,3.7,44.4,0.2,0.1,5.7
