player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,124.7,1532.0,11.2,0.0,331.5
Darren Waller,LV,116.9,1512.6,9.7,0.0,313.1
George Kittle,SF,120.0,1501.0,7.3,0.0,285.9
Mark Andrews,BAL,81.1,946.6,9.1,0.0,219.4
T.J. Hockenson,DET,80.8,888.0,5.7,0.0,194.5
Logan Thomas,WAS,76.8,744.8,5.8,0.0,177.3
Kyle Pitts,ATL,79.4,915.6,7.1,0.0,194.8
Noah Fant,DEN,70.5,804.1,5.0,0.0,174.0
Tyler Higbee,LAR,66.0,757.0,6.0,0.0,171.2
Robert Tonyan,GB,63.0,675.0,8.0,0.0,159.3
Dallas Goedert,PHI,62.5,699.3,5.3,0.0,158.6
Mike Gesicki,MIA,61.9,778.0,6.0,0.0,167.9
Jared Cook,LAC,65.1,753.4,7.0,0.0,160.7
Eric Ebron,PIT,69.2,730.6,5.0,0.0,157.7
Jonnu Smith,NE,60.2,637.0,6.0,0.0,150.9
Evan Engram,NYG,62.0,621.3,4.0,0.0,146.4
Austin Hooper,CLE,59.9,692.7,5.1,0.0,152.0
Anthony Firkser,TEN,64.8,687.3,5.1,0.0,143.9
Rob Gronkowski,TB,49.8,573.0,6.0,0.0,131.9
Blake Jarwin,DAL,53.0,613.0,5.0,0.0,137.8
Hunter Henry,NE,61.0,653.0,5.0,0.0,142.1
Jordan Akins,HOU,59.4,609.5,3.6,0.0,130.6
Cole Kmet,CHI,57.0,544.0,5.0,0.0,132.8
Zach Ertz,PHI,59.3,563.5,4.0,0.0,124.8
Dawson Knox,BUF,54.9,592.9,4.6,0.0,127.1
Hayden Hurst,ATL,58.1,588.0,4.5,0.0,128.2
Gerald Everett,SEA,48.9,490.8,5.2,0.0,121.5
Adam Trautman,NO,59.0,669.0,5.0,0.0,132.8
C.J. Uzomah,CIN,44.0,425.0,5.0,0.0,107.8
Jack Doyle,IND,50.1,553.6,4.0,0.0,112.4
Tommy Hudson,TEN,34.9,361.5,2.5,0.0,86.4
Tyler Conklin,MIN,40.0,415.0,3.8,0.0,96.0
Dan Arnold,CAR,41.0,555.5,4.0,0.0,106.7
Donald Parham Jr.,LAC,31.0,437.0,3.2,0.0,83.7
Ryan Izzo,NYG,25.0,417.0,2.0,1.0,78.7
O.J. Howard,TB,40.0,499.0,3.6,0.0,94.9
Mo Alie-Cox,IND,34.0,361.0,3.0,0.0,80.8
Juwan Johnson,NO,35.0,364.0,2.0,0.2,77.5
Will Dissly,SEA,38.0,379.0,4.0,0.0,88.6
Albert Okwuegbunam,DEN,60.2,753.7,4.8,0.0,131.0
