player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,105.5,1236.5,9.9,0.6,287.3
Mark Andrews,BAL,74.8,885.9,6.4,0.2,203.2
T.J. Hockenson,MIN,80.9,833.5,5.7,0.5,197.5
Darren Waller,NYG,65.9,799.7,4.9,0.3,174.5
George Kittle,SF,60.4,779.2,5.9,0.5,173.5
Kyle Pitts,ATL,59.5,790.0,4.0,0.1,162.4
Dallas Goedert,PHI,64.2,738.1,4.1,0.5,161.7
Evan Engram,JAC,62.6,653.4,3.6,0.2,150.0
Pat Freiermuth,PIT,59.7,634.9,4.1,0.2,147.2
Tyler Higbee,LAR,61.3,578.1,3.5,0.1,140.2
Dalton Schultz,HOU,56.0,574.7,4.2,0.5,137.5
David Njoku,CLE,52.8,577.8,4.3,0.4,136.2
Chigoziem Okonkwo,TEN,46.9,572.9,3.8,0.1,129.8
Gerald Everett,LAC,51.1,527.8,3.7,0.3,125.9
Greg Dulcich,DEN,46.2,569.9,3.6,0.1,124.4
Cole Kmet,CHI,47.2,510.3,4.2,0.2,123.0
Dalton Kincaid,BUF,43.0,492.2,3.9,0.4,115.1
Juwan Johnson,NO,40.3,476.9,4.2,0.1,112.8
Irv Smith Jr.,CIN,43.4,412.3,4.1,0.1,109.3
Sam LaPorta,DET,42.6,466.2,3.5,0.6,109.1
Hayden Hurst,CAR,46.3,441.7,3.0,0.5,107.2
Hunter Henry,NE,41.1,484.1,2.9,0.1,106.7
Noah Fant,SEA,43.7,451.7,2.9,0.1,106.2
Zach Ertz,ARI,44.7,442.4,2.8,0.1,105.4
Cade Otton,TB,45.2,451.9,2.4,0.1,104.5
Tyler Conklin,NYJ,45.2,424.5,2.4,0.1,102.0
Dawson Knox,BUF,36.0,401.5,3.5,0.2,97.0
Logan Thomas,WAS,42.6,409.3,2.2,0.1,96.2
Jelani Woods,IND,34.7,424.4,2.8,0.1,94.1
Michael Mayer,LV,37.8,398.7,2.6,0.4,92.8
Mike Gesicki,NE,35.4,404.6,2.6,0.1,91.6
Jake Ferguson,DAL,37.3,370.8,2.9,0.1,91.6
Trey McBride,ARI,35.7,378.1,2.0,0.1,85.3
Luke Musgrave,GB,34.9,368.5,2.3,0.4,85.1
Taysom Hill,NO,14.3,192.3,1.7,1.1,73.8
Austin Hooper,LV,28.2,298.6,1.7,0.0,68.2
Isaiah Likely,BAL,24.0,292.3,2.1,0.0,65.6
Noah Gray,KC,22.2,240.4,1.4,0.0,55.2
Luke Schoonmaker,DAL,21.0,236.2,1.5,0.3,53.0
Will Dissly,SEA,20.9,222.0,1.2,0.1,50.4
Jonnu Smith,ATL,19.6,222.3,1.2,0.0,50.0
Donald Parham Jr.,LAC,17.7,208.3,1.6,0.0,48.2
Robert Tonyan,CHI,18.4,205.3,1.4,0.0,47.5
Durham Smythe,MIA,20.3,197.7,1.1,0.0,47.0
Foster Moreau,NO,16.7,232.1,1.2,0.4,46.3
Brenton Strange,JAC,20.4,186.0,1.3,0.3,46.2
Brock Wright,DET,16.8,178.0,1.9,0.0,46.1
Josiah Deguara,GB,20.4,188.2,1.1,0.0,45.8
Kylen Granson,IND,18.9,213.1,0.8,0.0,45.6
Adam Trautman,DEN,18.4,209.8,1.1,0.2,45.5
C.J. Uzomah,NYJ,18.0,190.1,1.4,0.0,45.3
Jordan Akins,CLE,16.3,197.3,1.1,0.1,42.5
Tommy Tremble,CAR,16.9,163.1,1.5,0.4,41.8
Harrison Bryant,CLE,17.5,181.2,1.1,0.2,41.6
Jimmy Graham,NO,16.3,166.6,1.0,0.1,39.2
Josh Oliver,MIN,15.6,156.1,1.2,0.0,38.1
Tucker Kraft,GB,14.3,171.0,1.0,0.3,37.0
Mo Alie-Cox,IND,12.8,166.1,1.3,0.4,36.7
Ian Thomas,CAR,16.3,158.6,0.7,0.0,36.6
Geoff Swaim,ARI,20.9,105.7,0.7,0.0,35.7
Colby Parkinson,SEA,14.0,163.5,0.8,0.0,35.3
Darnell Washington,PIT,13.3,169.4,0.7,0.3,34.2
Daniel Bellinger,NYG,13.5,162.7,0.8,0.3,34.1
Brevin Jordan,HOU,13.0,166.8,0.7,0.0,33.9
Teagan Quitoriano,HOU,12.4,148.0,1.0,0.1,33.1
Elijah Higgins,MIA,11.0,173.4,0.7,0.1,32.4
Eric Saubert,MIA,13.7,130.3,0.9,0.0,32.1
Lawrence Cager,NYG,11.5,134.0,1.0,0.0,31.3
Charlie Kolar,BAL,11.8,138.3,0.8,0.0,30.7
Brycen Hopkins,LAR,11.8,140.0,0.8,0.0,30.6
Davis Allen,LAR,16.2,101.8,0.8,0.4,30.6
John Bates,WAS,13.4,132.5,0.6,0.0,30.5
Payne Durham,TB,13.9,125.5,0.7,0.4,30.4
Blake Bell,KC,11.4,90.9,1.0,0.0,28.6
Albert Okwuegbunam,DEN,8.8,150.1,0.8,0.3,28.3
Cameron Latu,SF,11.5,117.4,0.8,0.0,27.9
Peyton Hendershot,DAL,9.2,121.0,1.0,0.1,27.7
Hunter Long,LAR,10.3,125.6,0.7,0.1,27.0
Ko Kieft,TB,10.6,113.7,0.8,0.1,26.6
Miller Forristall,CLE,10.0,105.0,1.0,0.0,26.5
Dan Arnold,PHI,8.3,131.8,0.7,0.1,25.7
Tre' McKitty,LAC,10.6,107.6,0.7,0.0,25.4
Connor Heyward,PIT,9.0,104.3,0.7,0.1,25.0
Andrew Ogletree,IND,10.0,88.0,1.0,0.0,24.8
Josh Whyle,TEN,9.2,104.3,0.7,0.0,23.8
James Mitchell,DET,8.7,111.7,0.7,0.0,23.7
Zach Gentry,PIT,10.6,94.2,0.5,0.0,23.2
Jack Stoll,PHI,10.0,105.8,0.4,0.0,23.1
Andrew Beck,HOU,8.6,85.9,0.7,0.0,22.7
Zack Kuntz,NYJ,7.1,104.4,0.5,0.0,20.6
Stephen Sullivan,CAR,8.8,84.0,0.5,0.0,20.2
Tyler Kroft,MIA,7.2,89.1,0.6,0.0,19.9
Trevon Wesco,TEN,7.9,82.7,0.6,0.0,19.7
Marcedes Lewis,CHI,8.0,49.0,1.1,0.0,19.5
Drew Sample,CIN,8.6,78.9,0.5,0.1,19.4
Jeremy Ruckert,NYJ,6.2,100.2,0.5,0.0,19.4
Tanner Hudson,CIN,8.0,86.6,0.4,0.0,19.3
