name,team,receiving_rec,receiving_yds,receiving_tds,fumbles_lost,fp_projection

Rob Gronkowski,NE,71.2,1047.6,9.8,0.2,234.6
Travis Kelce,KC,81.7,1032.2,5.5,0.9,216.4
Greg Olsen,CAR,77.7,1005.7,5.5,0.7,210.0
Jordan Reed,WAS,76.6,834.8,6.6,1.7,196.2
Kyle Rudolph,MIN,74.9,754.2,6.0,0.7,185.1
Jimmy Graham,SEA,63.6,816.1,6.7,1.0,183.3
Zach Ertz,PHI,74.4,784.5,4.7,0.7,179.6
Delanie Walker,TEN,61.5,737.9,5.5,0.2,167.8
Tyler Eifert,CIN,57.2,713.3,6.5,0.2,167.0
Martellus Bennett,GB,60.6,668.8,6.2,0.2,164.3
Eric Ebron,DET,64.1,724.5,4.1,0.6,160.2
Hunter Henry,LAC,50.4,629.0,6.3,0.7,149.8
Jack Doyle,IND,59.0,590.9,5.2,0.7,147.7
Jason Witten,DAL,64.5,633.2,3.7,1.4,147.4
Coby Fleener,NO,51.2,617.3,4.6,0.2,140.1
Charles Clay,BUF,51.9,543.0,4.0,0.2,130.0
Austin Hooper,ATL,43.7,534.8,5.1,0.1,127.7
C.J. Fiedorowicz,HOU,51.8,538.1,3.8,0.5,127.2
Cameron Brate,TB,45.8,526.6,4.5,0.2,125.2
Jared Cook,OAK,47.2,545.6,4.0,1.0,123.8
Julius Thomas,MIA,45.3,471.9,5.0,0.2,122.0
Antonio Gates,LAC,42.9,464.3,4.6,0.8,115.4
Evan Engram,NYG,44.3,468.8,3.3,0.3,110.5
David Njoku,CLE,44.7,472.3,2.9,0.3,108.7
Jesse James,PIT,44.0,431.1,3.4,0.1,107.1
Zach Miller,CHI,40.7,433.0,3.5,0.2,104.3
Jermaine Gresham,ARI,39.4,416.8,3.0,0.2,98.4
O.J. Howard,TB,38.0,407.0,3.3,0.3,98.2
Austin Seferian-Jenkins,NYJ,36.3,428.6,2.6,0.2,94.4
Tyler Higbee,LAR,34.2,339.2,2.7,0.2,84.2
Benjamin Watson,BAL,35.2,353.5,2.4,0.6,84.0
