name,team,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fp_projection

Antonio Brown,PIT,3.2,17.8,0.0,111.7,1433.7,10.1,0.8,260.0
Julio Jones,ATL,0.0,0.3,0.0,100.1,1523.1,9.3,0.4,257.1
Odell Beckham Jr.,NYG,0.5,3.3,0.0,97.1,1325.5,9.6,1.0,237.3
Mike Evans,TB,0.0,0.0,0.0,90.0,1289.0,9.3,0.3,229.1
Jordy Nelson,GB,0.0,0.0,0.0,90.6,1219.0,10.6,1.3,228.2
Michael Thomas,NO,0.0,0.0,0.0,96.4,1209.9,8.6,0.3,220.3
A.J. Green,CIN,0.0,0.0,0.0,89.7,1264.5,8.0,0.5,218.1
T.Y. Hilton,IND,0.0,0.0,0.0,82.3,1243.3,6.6,0.3,204.4
Doug Baldwin,SEA,2.7,15.2,0.2,87.3,1094.3,8.2,0.2,204.2
Amari Cooper,OAK,2.0,10.7,0.0,83.9,1159.0,6.9,0.4,200.0
Brandin Cooks,NE,3.8,21.6,0.1,80.0,1100.0,7.3,0.3,196.0
Dez Bryant,DAL,0.0,0.0,0.0,72.3,1070.9,8.8,1.6,192.6
DeAndre Hopkins,HOU,0.0,0.0,0.0,82.6,1095.2,5.9,0.3,185.4
Demaryius Thomas,DEN,0.0,0.3,0.0,86.1,1092.9,6.3,2.8,184.5
Michael Crabtree,OAK,0.0,0.0,0.0,84.1,985.2,7.3,0.3,183.9
Allen Robinson,JAC,0.0,0.0,0.0,76.2,1025.8,6.9,0.4,181.6
Larry Fitzgerald,ARI,0.2,0.4,0.0,92.4,991.6,6.0,1.6,178.4
Alshon Jeffery,PHI,0.3,2.7,0.0,74.9,1032.1,6.1,0.3,177.1
Golden Tate,DET,6.8,32.6,0.1,88.4,996.8,5.3,1.5,176.7
Stefon Diggs,MIN,2.1,13.6,0.0,86.0,977.8,5.0,0.3,171.5
Emmanuel Sanders,DEN,0.7,3.6,0.0,75.5,1020.5,5.4,0.7,171.4
Terrelle Pryor,WAS,2.2,12.6,0.0,70.7,1012.0,5.6,0.4,170.7
Davante Adams,GB,0.4,2.1,0.0,71.4,912.3,7.5,1.0,170.0
Keenan Allen,LAC,0.1,1.2,0.0,82.4,971.7,6.0,3.1,168.4
Kelvin Benjamin,CAR,0.0,-0.2,0.0,68.1,965.9,6.6,1.4,167.6
Tyreek Hill,KC,26.6,167.6,1.4,71.4,777.8,5.2,1.5,167.1
Jarvis Landry,MIA,3.3,17.2,0.0,84.1,959.1,4.9,2.1,165.3
Sammy Watkins,LAR,0.1,-0.1,0.0,65.7,968.1,5.6,0.3,162.5
Jamison Crowder,WAS,2.5,11.8,0.0,74.4,915.9,5.2,1.5,158.2
Pierre Garcon,SF,0.0,0.0,0.0,74.4,915.1,4.4,0.4,154.5
Randall Cobb,GB,5.3,36.0,0.1,71.9,796.7,5.6,0.3,153.2
Martavis Bryant,PIT,2.3,14.0,0.1,59.0,864.7,6.0,0.9,152.2
Devante Parker,MIA,0.0,0.0,0.0,63.4,872.7,5.4,0.3,150.6
Brandon Marshall,NYG,0.0,0.0,0.0,65.1,834.9,5.9,0.8,149.9
Jeremy Maclin,BAL,1.0,6.1,0.0,71.6,857.4,4.3,0.3,147.4
Mike Wallace,BAL,2.5,16.8,0.0,66.4,844.6,4.5,0.2,146.2
Jordan Matthews,BUF,0.3,2.0,0.0,66.4,795.6,5.1,0.3,143.0
Eric Decker,TEN,0.0,0.0,0.0,59.3,784.2,5.9,0.7,142.0
Donte Moncrief,IND,2.0,10.7,0.0,61.9,744.3,5.7,0.3,140.4
Kenny Britt,CLE,0.3,1.0,0.0,61.0,828.3,4.9,1.3,140.2
DeSean Jackson,TB,0.7,4.3,0.0,54.0,851.7,4.6,0.4,139.7
Adam Thielen,MIN,2.4,12.7,0.0,63.8,800.3,4.4,1.2,137.6
Tyrell Williams,LAC,0.0,0.0,0.0,53.1,793.4,5.1,0.5,135.6
Willie Snead,NO,0.0,0.0,0.0,60.9,787.6,4.5,0.6,135.2
Rishard Matthews,TEN,0.1,0.9,0.0,55.0,784.3,5.3,1.5,134.7
Chris Hogan,NE,2.1,13.3,0.0,52.7,794.4,4.9,1.1,134.3
Marvin Jones,DET,0.6,1.1,0.0,53.0,756.2,4.7,0.2,129.9
Ted Ginn,NO,4.1,24.4,0.1,52.6,739.1,5.0,1.9,129.2
Corey Coleman,CLE,3.3,19.4,0.0,59.1,731.7,4.0,0.3,128.2
Cole Beasley,DAL,0.5,1.4,0.0,64.7,720.9,3.9,0.8,126.6
Sterling Shepard,NYG,2.0,11.1,0.0,57.7,668.3,4.8,0.4,124.8
John Brown,ARI,1.6,9.7,0.0,52.6,727.6,4.1,0.4,124.1
Kevin White,CHI,1.6,7.0,0.0,57.5,711.6,3.9,0.6,122.9
Zay Jones,BUF,0.0,0.0,0.0,55.6,708.0,4.2,0.5,122.9
Tyler Lockett,SEA,3.8,38.2,0.2,49.4,684.7,3.7,0.4,119.4
Corey Davis,TEN,0.0,0.0,0.0,50.8,686.5,4.4,0.6,119.2
Robby Anderson,NYJ,2.3,17.2,0.0,53.3,724.6,3.6,1.6,119.2
Mohamed Sanu,ATL,1.6,9.3,0.1,53.5,624.0,4.6,1.1,116.0
Kendall Wright,CHI,1.1,6.1,0.0,53.3,668.9,3.3,0.4,113.4
Kenny Stills,MIA,0.0,0.0,0.0,39.5,631.1,4.7,0.3,110.6
Breshad Perriman,BAL,0.9,4.9,0.0,45.6,636.9,3.4,0.2,107.0
Torrey Smith,PHI,0.1,1.4,0.0,43.7,625.7,3.8,0.3,106.8
