player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Michael Thomas,NO,135.0,1607.0,9.8,0.9,5.8,0.0,0.0,276.9
Davante Adams,GB,110.0,1426.0,11.0,0.0,0.0,0.0,0.0,260.0
Julio Jones,ATL,114.0,1569.0,7.9,2.0,10.4,0.0,0.0,243.1
Tyreek Hill,KC,86.0,1263.0,9.0,17.0,105.0,1.0,0.0,237.4
DeAndre Hopkins,ARI,106.0,1243.0,8.0,3.8,22.9,0.1,0.0,220.6
Chris Godwin,TB,94.0,1284.8,8.2,3.4,22.9,0.2,0.0,220.7
Mike Evans,TB,86.7,1250.0,9.1,3.0,20.2,0.2,0.0,208.2
Kenny Golladay,DET,82.2,1279.5,9.0,1.0,5.0,0.0,0.0,214.3
D.J. Moore,CAR,91.1,1252.0,7.0,9.0,98.0,0.2,0.1,214.0
Robert Woods,LAR,92.0,1180.0,6.3,20.0,111.0,1.0,0.1,208.3
Cooper Kupp,LAR,89.1,1102.9,10.0,4.0,22.4,0.1,0.0,213.8
Adam Thielen,MIN,82.3,1128.0,8.0,7.0,30.3,1.0,0.0,201.0
Amari Cooper,DAL,79.7,1172.6,8.0,2.1,14.0,0.1,0.0,196.6
Allen Robinson,CHI,93.2,1119.0,7.0,2.9,18.9,0.2,0.0,199.1
Calvin Ridley,ATL,82.4,1127.4,9.0,4.0,31.0,0.0,0.0,197.2
Tyler Lockett,SEA,76.0,1145.9,8.0,8.0,30.0,0.2,0.0,200.5
A.J. Brown,TEN,70.0,1099.0,7.0,7.0,61.0,1.0,0.0,196.0
Keenan Allen,LAC,90.0,1153.0,6.6,8.0,57.0,0.4,0.0,199.5
Odell Beckham Jr.,CLE,80.0,1153.0,7.7,5.0,23.8,0.1,0.0,196.2
JuJu Smith-Schuster,PIT,87.0,1200.0,7.0,1.0,8.0,0.0,0.0,197.4
DeVante Parker,MIA,78.0,1143.7,7.6,1.1,7.9,0.0,0.0,196.4
Courtland Sutton,DEN,79.0,1092.0,7.0,2.2,13.0,0.1,0.0,186.7
Terry McLaurin,WAS,74.4,1112.0,8.0,0.0,0.0,0.0,0.0,194.5
T.Y. Hilton,IND,73.0,1107.0,7.0,0.0,0.0,0.0,0.0,188.0
D.K. Metcalf,SEA,67.3,1040.5,7.5,2.2,11.4,0.1,0.0,178.1
Jarvis Landry,CLE,76.8,1024.0,6.1,2.0,38.0,1.0,0.0,178.7
Stefon Diggs,BUF,73.5,1011.0,7.0,11.0,99.0,0.3,0.0,185.7
Michael Gallup,DAL,68.1,1091.3,6.8,0.0,0.0,0.0,0.0,181.6
A.J. Green,CIN,73.0,1026.8,6.6,0.0,2.0,0.0,0.0,177.2
D.J. Chark,JAC,75.8,1082.6,7.0,2.1,13.3,0.0,0.0,177.9
Marquise Brown,BAL,66.7,910.0,8.0,19.0,180.0,1.0,0.0,195.0
Tyler Boyd,CIN,80.0,1014.0,6.0,3.9,24.7,0.1,0.0,176.7
Julian Edelman,NE,85.0,965.0,5.3,13.0,90.0,0.3,0.0,168.2
Marvin Jones,DET,66.8,932.2,8.0,2.0,11.4,0.1,0.0,168.5
Jamison Crowder,NYJ,76.6,877.8,6.2,3.0,19.0,0.0,0.0,163.3
Diontae Johnson,PIT,75.9,850.2,7.0,5.0,40.0,0.1,0.0,164.0
Christian Kirk,ARI,73.0,845.0,5.0,15.2,105.2,0.4,0.0,156.5
Will Fuller,HOU,71.0,1016.0,5.4,8.1,54.0,0.4,0.0,161.9
Brandin Cooks,HOU,67.0,946.0,5.2,8.0,65.0,0.3,0.0,155.4
Sterling Shepard,NYG,74.8,903.2,5.5,7.4,51.2,0.2,0.0,158.2
Preston Williams,MIA,66.9,882.0,7.0,1.1,7.9,0.0,0.0,161.4
Golden Tate,NYG,70.1,875.4,6.1,3.7,26.0,0.1,0.0,157.3
John Brown,BUF,56.9,906.7,6.2,4.9,33.4,0.2,0.0,156.0
Deebo Samuel,SF,63.0,769.5,4.9,17.0,218.0,2.0,0.0,146.0
Darius Slayton,NYG,58.8,863.2,7.0,0.0,0.0,0.0,0.0,153.7
Mike Williams,LAC,52.4,888.3,5.3,5.4,37.2,1.0,0.0,144.3
Anthony Miller,CHI,62.6,764.8,6.0,5.4,34.9,0.3,0.0,140.8
DeSean Jackson,PHI,57.9,818.4,5.3,7.0,38.5,1.0,0.0,143.1
Emmanuel Sanders,NO,69.0,773.0,5.8,2.1,22.0,0.1,0.0,139.5
CeeDee Lamb,DAL,60.0,937.0,5.0,2.1,13.0,0.1,0.0,151.8
Jalen Reagor,PHI,58.0,816.0,5.0,3.5,23.4,0.2,0.0,140.4
Breshad Perriman,NYJ,49.2,968.8,6.9,4.0,14.0,0.1,0.0,162.5
Henry Ruggs III,LV,57.0,856.0,5.0,4.9,33.9,0.2,0.0,142.9
Robby Anderson,CAR,57.2,835.3,5.1,2.0,10.4,0.1,0.0,140.3
Sammy Watkins,KC,67.0,881.0,5.6,5.0,42.0,0.1,0.0,142.2
Jerry Jeudy,DEN,57.4,925.0,4.4,2.0,8.0,0.0,0.0,144.1
Curtis Samuel,CAR,54.3,663.9,5.0,22.0,167.0,2.0,0.1,132.3
Justin Jefferson,MIN,56.5,764.0,4.6,2.2,14.6,0.2,0.0,127.2
Allen Lazard,GB,59.0,822.0,4.0,2.0,29.0,0.1,0.0,134.0
Cole Beasley,BUF,63.0,790.8,5.0,0.0,0.0,0.0,0.0,133.4
Steven Sims,WAS,59.6,690.5,6.0,11.0,95.0,1.0,0.0,133.1
Dede Westbrook,JAC,70.0,761.0,5.0,6.0,52.0,0.2,0.0,140.5
Danny Amendola,DET,72.0,756.0,4.0,1.0,0.0,0.0,0.0,129.3
N'Keal Harry,NE,52.9,650.9,6.0,12.0,87.0,0.2,0.1,118.3
Corey Davis,TEN,50.0,695.0,5.0,3.0,29.0,0.0,0.0,118.4
Mecole Hardman,KC,49.8,689.2,7.0,12.4,83.8,0.6,0.0,127.7
Michael Pittman Jr.,IND,53.0,691.0,4.4,3.0,13.0,0.0,0.0,117.2
Hunter Renfrow,LV,64.0,760.0,6.0,0.0,0.0,0.0,0.0,136.7
Larry Fitzgerald,ARI,55.8,639.4,4.7,0.0,0.0,0.0,0.0,113.4
Brandon Aiyuk,SF,46.0,748.0,4.2,3.0,16.5,0.2,0.0,120.9
Randall Cobb,HOU,54.0,682.0,3.5,7.9,52.3,0.3,0.0,109.4
Alshon Jeffery,PHI,60.0,707.5,4.3,1.0,1.0,1.0,0.0,120.5
Josh Reynolds,LAR,45.5,603.0,4.0,7.9,54.4,0.4,0.0,105.5
Chris Conley,JAC,45.8,648.2,4.1,0.0,0.0,0.0,0.0,109.1
Parris Campbell,IND,44.1,547.5,3.6,13.2,72.8,0.4,0.0,104.8
Tyrell Williams,LV,44.6,605.7,4.0,1.0,8.0,0.0,0.0,97.8
Russell Gage,ATL,54.8,595.7,3.6,6.6,44.9,0.2,0.0,102.3
Tee Higgins,CIN,40.0,596.0,3.0,2.0,9.0,0.0,0.0,96.6
Mohamed Sanu,NE,51.2,540.4,3.1,4.4,25.2,0.2,0.0,95.1
Denzel Mims,NYJ,46.0,593.6,3.6,2.0,8.0,0.0,0.0,101.8
James Washington,PIT,38.9,594.0,3.5,0.0,0.0,0.0,0.0,95.6
Adam Humphries,TEN,46.8,514.2,3.3,2.0,9.0,0.0,0.0,92.8
Kenny Stills,HOU,34.0,514.0,4.0,0.0,0.0,0.0,0.0,90.3
John Ross,CIN,36.3,476.6,5.0,6.0,26.0,0.1,0.1,88.1
Jakeem Grant,MIA,45.5,537.0,3.0,6.9,47.7,2.0,0.0,88.5
Kendrick Bourne,SF,36.1,434.2,5.0,2.4,16.5,0.2,0.0,87.2
Antonio Gandy-Golden,WAS,39.5,527.8,3.0,0.0,0.0,0.0,0.0,88.1
Miles Boykin,BAL,40.8,487.4,5.0,0.0,0.0,0.0,0.0,85.3
Chase Claypool,PIT,37.0,520.0,3.4,2.0,8.0,0.0,0.0,79.7
Phillip Dorsett,SEA,28.0,440.2,5.0,5.0,38.0,0.1,0.0,82.2
Laviska Shenault Jr.,JAC,46.0,714.0,3.0,15.0,104.0,0.3,0.0,114.4
Willie Snead,BAL,42.0,475.0,4.0,2.5,14.7,0.1,0.0,88.2
Bryan Edwards,LV,39.2,549.0,3.0,2.0,11.0,0.0,0.0,88.4
KJ Hamler,DEN,33.0,512.0,2.7,2.0,11.6,0.1,0.0,78.0
Van Jefferson,LAR,48.0,756.0,3.0,2.0,10.0,0.0,0.0,107.7
Tre'Quan Smith,NO,29.0,408.0,6.0,1.0,3.0,0.0,0.0,88.0
Zach Pascal,IND,33.0,443.0,3.0,3.0,24.0,0.0,0.0,75.5
Olabisi Johnson,MIN,43.0,460.0,5.0,1.0,7.0,0.0,0.0,88.6
Dontrelle Inman,WAS,34.5,460.2,2.0,0.0,0.0,0.0,0.0,68.1
Ted Ginn,CHI,30.2,435.0,2.2,6.3,40.7,0.3,0.0,67.9
Scott Miller,TB,27.9,363.4,2.6,4.0,20.7,0.2,0.0,66.1
Marquez Valdes-Scantling,GB,32.0,517.0,2.3,2.0,21.0,0.0,0.0,75.5
David Moore,SEA,21.0,314.3,2.1,4.5,27.3,0.1,0.0,56.0
Devin Duvernay,BAL,26.5,326.5,2.1,2.5,15.0,0.1,0.0,55.3
Andy Isabella,ARI,28.0,454.5,2.2,4.6,30.8,0.2,0.0,70.8
Jakobi Meyers,NE,30.0,376.0,2.0,0.0,0.0,0.0,0.0,59.5
Chester Rogers,MIA,27.8,297.5,1.7,0.0,0.0,0.0,0.0,53.1
Keelan Cole,JAC,39.0,557.0,3.0,1.2,7.6,0.0,0.0,82.9
Equanimeous St. Brown,GB,32.0,377.0,2.1,0.6,4.0,0.0,0.0,59.2
Isaiah Ford,MIA,40.4,477.7,2.8,0.0,0.0,0.0,0.0,76.2
Jake Kumerow,GB,29.5,403.6,2.5,0.0,0.0,0.0,0.0,64.0
Greg Ward,PHI,53.0,562.0,3.0,3.0,14.0,0.1,0.0,85.6
Joe Reed,LAC,33.0,546.0,2.0,8.2,49.1,0.2,0.0,76.0
Demarcus Robinson,KC,19.0,268.7,2.0,0.0,0.0,0.0,0.0,45.4
Trent Taylor,SF,31.3,346.8,2.5,0.0,0.0,0.0,0.0,58.6
Dante Pettis,SF,32.0,495.0,7.0,1.0,0.0,0.0,0.0,97.4
Nelson Agholor,LV,50.0,537.0,3.0,3.0,31.0,0.0,0.0,84.3
Cordarrelle Patterson,CHI,16.5,159.9,1.0,25.5,155.1,1.0,0.0,44.2
Marvin Hall,DET,14.3,239.2,1.7,1.1,7.2,0.0,0.0,41.8
J.J. Arcega-Whiteside,PHI,22.3,261.8,1.9,0.9,5.8,0.0,0.0,46.3
