player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Davante Adams,GB,122.5,1462.5,12.8,0.0,0.0,0.0,0.8,282.6
Tyreek Hill,KC,100.2,1436.2,12.3,12.9,82.4,0.8,0.7,279.3
Stefon Diggs,BUF,113.5,1474.5,9.3,2.4,15.6,0.1,1.2,259.1
DeAndre Hopkins,ARI,122.1,1467.7,7.6,0.9,4.4,0.0,1.5,251.2
Calvin Ridley,ATL,99.3,1415.3,8.8,4.6,26.2,0.1,0.8,245.8
Justin Jefferson,MIN,93.5,1392.3,7.9,0.4,1.5,0.0,0.8,232.0
D.K. Metcalf,SEA,86.6,1301.3,9.9,0.3,1.3,0.0,1.4,230.5
A.J. Brown,TEN,84.5,1267.9,9.8,0.5,7.5,0.0,0.9,226.7
Keenan Allen,LAC,111.2,1208.6,7.9,3.0,16.3,0.1,1.0,224.0
Allen Robinson II,CHI,98.3,1223.4,6.9,0.3,0.3,0.0,0.7,211.8
Terry McLaurin,WAS,91.5,1235.7,6.5,1.8,12.1,0.1,0.7,208.7
Robert Woods,LAR,97.3,1080.4,6.0,17.0,106.5,0.9,0.8,207.1
Amari Cooper,DAL,89.8,1187.7,7.2,2.6,11.7,0.0,0.7,206.8
Mike Evans,TB,76.1,1113.5,9.4,0.0,0.0,0.0,0.7,204.5
Tyler Lockett,SEA,93.4,1063.1,8.4,1.0,2.7,0.0,0.7,202.3
CeeDee Lamb,DAL,84.6,1099.7,6.6,8.5,61.2,0.6,0.8,200.0
Adam Thielen,MIN,79.6,1021.5,9.2,3.2,14.6,0.3,0.7,198.7
Cooper Kupp,LAR,92.8,1066.6,7.1,3.9,23.7,0.1,0.7,197.3
D.J. Moore,CAR,82.3,1186.1,5.4,3.1,20.1,0.1,0.8,193.0
Julio Jones,TEN,77.8,1102.8,7.2,0.5,-0.5,0.0,0.7,191.2
Chris Godwin,TB,82.1,1067.3,7.5,0.3,2.0,0.0,0.8,191.1
Diontae Johnson,PIT,93.9,981.0,6.6,4.4,27.4,0.1,1.4,184.7
Tee Higgins,CIN,79.2,1058.3,6.4,2.3,12.4,0.0,0.8,183.6
Brandon Aiyuk,SF,73.1,926.3,6.5,14.6,82.4,0.7,0.7,179.3
Odell Beckham Jr.,CLE,71.1,994.3,6.5,5.6,50.6,0.3,0.7,179.3
Kenny Golladay,NYG,69.9,1033.1,6.3,0.0,0.0,0.0,0.7,174.8
Ja'Marr Chase,CIN,71.9,1041.7,5.8,1.5,8.2,0.0,1.2,173.6
Brandin Cooks,HOU,75.3,1052.5,5.2,0.8,6.8,0.0,0.7,173.6
JuJu Smith-Schuster,PIT,89.3,901.9,6.7,0.0,0.0,0.0,0.9,173.2
Courtland Sutton,DEN,70.0,992.9,6.3,1.7,9.4,0.0,0.7,171.6
Chase Claypool,PIT,69.6,892.1,6.8,8.3,44.3,0.6,0.9,171.5
Jerry Jeudy,DEN,73.1,1030.8,5.5,0.0,0.0,0.0,0.8,171.0
Robby Anderson,CAR,80.3,991.3,5.2,2.5,12.3,0.1,0.8,170.8
Tyler Boyd,CIN,84.0,932.0,5.5,2.1,15.7,0.0,0.8,168.5
Deebo Samuel,SF,70.4,898.6,4.7,13.5,99.3,0.7,0.8,166.0
Laviska Shenault Jr.,JAC,74.5,820.8,4.9,19.7,108.7,0.5,0.7,161.3
Michael Gallup,DAL,64.1,941.7,5.9,0.0,0.0,0.0,0.6,160.4
D.J. Chark Jr.,JAC,68.8,916.6,5.9,0.3,3.3,0.0,0.6,160.3
Marvin Jones Jr.,JAC,68.7,876.4,6.3,0.3,0.0,0.0,0.6,158.6
Jarvis Landry,CLE,73.6,885.3,5.0,1.9,9.7,0.3,0.8,156.9
Marquise Brown,BAL,61.2,824.6,7.0,1.5,8.0,0.0,0.6,154.7
Curtis Samuel,WAS,62.3,735.2,4.8,24.6,128.5,1.1,0.7,151.6
Mike Williams,LAC,56.0,915.1,5.5,0.3,0.5,0.0,0.6,151.3
Michael Thomas,NO,71.8,857.0,4.9,0.3,-0.8,0.0,0.7,149.4
Will Fuller V,MIA,66.6,849.1,5.3,0.0,0.0,0.0,0.6,148.9
DeVante Parker,MIA,65.5,833.0,5.5,0.0,0.0,0.0,0.7,147.8
DeVonta Smith,PHI,63.2,888.3,4.8,1.0,6.2,0.0,1.2,147.7
Corey Davis,NYJ,68.2,887.1,3.9,0.0,0.0,0.0,0.8,144.6
Michael Pittman Jr.,IND,63.2,824.7,4.5,3.4,22.7,0.0,0.7,142.5
Antonio Brown,TB,63.5,711.5,6.0,2.0,11.4,0.0,0.6,138.7
Darnell Mooney,CHI,65.5,778.0,4.5,2.7,15.5,0.0,0.7,137.8
Mecole Hardman,KC,52.4,732.1,5.5,6.4,43.8,0.1,1.7,134.2
Tyrell Williams,DET,56.0,802.5,4.3,0.0,0.0,0.0,0.7,132.7
Henry Ruggs III,LV,51.4,783.6,4.1,10.4,58.3,0.1,1.7,132.1
Jaylen Waddle,MIA,57.1,764.6,4.7,1.5,8.6,0.0,1.2,131.8
Cole Beasley,BUF,64.0,737.8,4.4,0.0,0.0,0.0,0.6,131.1
T.Y. Hilton,IND,56.1,743.0,5.0,0.0,0.0,0.0,0.6,131.0
Russell Gage,ATL,66.3,720.9,4.1,1.3,6.1,0.0,0.6,129.1
Emmanuel Sanders,BUF,57.1,696.3,5.0,1.1,6.7,0.1,0.6,127.7
Elijah Moore,NYJ,59.5,719.1,3.7,0.7,4.2,0.0,0.4,123.6
Jalen Reagor,PHI,53.8,722.7,3.8,3.1,17.5,0.1,0.7,122.9
Nelson Agholor,NE,50.6,714.5,4.5,0.3,1.3,0.0,0.7,122.5
Sterling Shepard,NYG,62.1,636.4,3.5,3.3,26.0,0.3,0.6,118.8
Breshad Perriman,CHI,48.9,706.3,3.8,1.0,5.8,0.0,0.0,118.2
Jakobi Meyers,NE,53.4,680.9,3.5,0.7,3.6,0.0,0.5,115.3
Gabriel Davis,BUF,42.7,629.5,5.0,0.3,0.0,0.0,0.1,114.1
Rondale Moore,ARI,54.1,663.7,3.6,1.1,6.1,0.0,1.2,113.4
Marquez Callaway,NO,49.8,643.3,4.1,0.0,0.0,0.0,0.4,113.3
A.J. Green,ARI,51.7,633.6,4.2,0.0,0.0,0.0,0.7,112.8
Randall Cobb,GB,50.6,612.6,4.3,1.5,7.6,0.0,0.7,111.9
Tre'Quan Smith,NO,42.1,596.1,5.1,0.3,0.5,0.0,0.1,110.9
Jamison Crowder,NYJ,54.0,605.4,3.7,0.3,3.3,0.0,0.7,108.5
Terrace Marshall Jr.,CAR,47.6,619.9,3.5,0.5,2.8,0.0,1.2,105.0
Christian Kirk,ARI,45.1,545.3,3.8,3.9,26.9,0.0,0.6,102.0
Parris Campbell,IND,46.1,559.2,3.3,4.8,30.1,0.2,0.4,101.9
John Brown,LV,43.7,593.5,3.5,0.3,1.3,0.0,1.0,100.5
Rashod Bateman,BAL,41.1,543.0,4.1,0.8,4.8,0.0,0.6,98.5
Allen Lazard,GB,40.8,551.3,3.7,1.3,9.7,0.0,0.6,97.3
DeSean Jackson,LAR,35.5,561.0,3.6,2.8,17.1,0.1,0.6,96.5
Darius Slayton,NYG,41.2,556.5,3.5,0.8,2.6,0.0,0.6,96.2
Bryan Edwards,LV,41.4,542.3,3.4,0.0,0.0,0.0,0.3,94.7
Hunter Renfrow,LV,43.4,519.6,3.1,0.0,0.0,0.0,0.6,90.9
Anthony Miller,HOU,43.8,520.8,2.8,2.2,10.3,0.1,0.8,90.9
Van Jefferson,LAR,40.3,487.2,3.4,1.4,5.8,0.0,0.1,90.0
Amon-Ra St. Brown,DET,43.0,522.8,2.6,0.0,0.0,0.0,0.3,88.7
Nico Collins,HOU,38.5,518.4,2.9,0.0,0.0,0.0,0.3,88.1
Sammy Watkins,BAL,37.6,462.0,3.5,0.8,7.5,0.0,0.6,85.7
Chris Conley,HOU,36.5,512.3,2.7,0.0,0.0,0.0,0.7,84.4
Josh Reynolds,TEN,36.1,469.4,3.1,0.8,4.5,0.0,0.6,82.9
Keelan Cole Sr.,NYJ,35.7,460.9,2.7,0.0,0.0,0.0,0.5,79.0
Demarcus Robinson,KC,35.3,423.3,3.3,0.0,0.0,0.0,0.6,78.5
James Washington,PIT,33.3,451.7,2.9,0.0,0.0,0.0,0.6,78.1
Marquez Valdes-Scantling,GB,25.7,438.1,3.3,2.5,14.8,0.0,0.6,77.2
Zach Pascal,IND,30.7,415.3,3.3,0.3,2.0,0.0,0.1,76.8
KJ Hamler,DEN,32.6,391.7,2.4,8.9,43.9,0.2,0.6,74.1
Denzel Mims,NYJ,31.6,449.8,2.0,0.3,0.8,0.0,0.1,73.0
Jalen Guyton,LAC,27.4,419.3,2.3,2.5,10.6,0.1,0.1,70.6
Josh Palmer,LAC,30.1,413.4,2.5,0.7,4.0,0.0,0.6,70.6
Mohamed Sanu,SF,35.6,371.9,2.2,1.3,5.7,0.0,0.5,67.5
Cordarrelle Patterson,ATL,16.0,188.0,1.0,54.0,225.0,2.0,0.0,67.3
D'Wayne Eskridge,SEA,31.2,353.2,2.6,1.1,5.5,0.0,0.0,67.1
Rashard Higgins,CLE,26.5,395.9,2.6,0.0,0.0,0.0,0.6,67.1
Kadarius Toney,NYG,29.4,351.5,1.9,6.5,39.7,0.2,0.3,65.6
Tim Patrick,DEN,28.5,375.1,2.5,0.0,0.0,0.0,0.6,65.4
Olamide Zaccheaus,ATL,26.8,392.2,2.0,0.3,1.4,0.0,0.1,64.3
Kendrick Bourne,NE,29.3,372.1,2.0,0.0,0.0,0.0,0.2,63.8
Keke Coutee,IND,32.8,392.3,2.1,0.7,3.7,0.3,4.0,62.6
Dyami Brown,WAS,26.3,358.2,2.1,0.0,0.0,0.0,0.2,61.3
Tyron Johnson,JAC,21.5,341.6,2.4,1.7,10.0,0.0,0.0,60.4
Deonte Harris,NO,27.0,304.7,1.6,7.3,47.9,0.1,0.2,58.7
Preston Williams,MIA,23.6,303.2,2.9,0.0,0.0,0.0,0.6,58.2
Richie James Jr.,SF,27.4,425.0,1.6,1.0,0.0,0.0,4.0,57.9
Damiere Byrd,CHI,29.5,339.7,1.7,0.3,2.0,0.0,0.6,57.8
Adam Humphries,WAS,30.3,331.0,1.6,0.0,0.0,0.0,0.1,57.6
Donovan Peoples-Jones,CLE,23.7,311.8,2.2,0.0,0.0,0.0,0.2,56.0
Quintez Cephus,DET,23.8,316.9,1.5,0.0,0.0,0.0,0.2,52.3
Byron Pringle,KC,22.6,290.2,2.0,0.0,0.0,0.0,0.2,52.1
Auden Tate,CIN,21.4,270.4,1.5,0.0,0.0,0.0,0.1,46.5
Travis Fulgham,PHI,20.7,267.0,1.6,0.0,0.0,0.0,0.0,46.5
Scotty Miller,TB,17.0,244.6,1.8,1.4,7.7,0.1,0.1,45.0
Isaiah McKenzie,BUF,18.9,200.3,1.9,5.7,28.6,0.2,0.1,45.0
Isaiah Coulter,CHI,18.3,275.6,1.5,1.0,4.0,0.0,1.0,44.1
Dez Fitzpatrick,TEN,21.0,275.0,1.0,0.0,0.0,0.0,0.0,44.0
Phillip Dorsett II,JAC,19.6,231.1,1.5,0.0,0.0,0.0,0.0,41.6
Tutu Atwell,LAR,19.2,249.1,1.2,0.0,0.0,0.0,0.1,41.5
Amari Rodgers,GB,18.0,221.4,1.3,2.0,12.4,0.1,0.1,40.5
Willie Snead IV,LV,20.2,233.1,1.2,0.0,0.0,0.0,0.2,40.4
Quez Watkins,PHI,19.8,233.0,1.2,0.0,0.0,0.0,0.1,40.3
Collin Johnson,NYG,19.7,222.5,1.1,0.0,0.0,0.0,0.0,38.4
N'Keal Harry,NE,16.2,196.4,1.4,0.9,5.2,0.0,0.1,36.9
Devin Duvernay,BAL,17.2,190.2,1.3,1.7,11.7,0.0,0.1,36.2
Freddie Swain,SEA,15.2,190.4,1.5,0.0,0.0,0.0,0.1,35.4
Kalif Raymond,DET,16.2,228.6,0.8,0.0,0.0,0.0,0.2,35.2
Marquise Goodwin,CHI,15.7,207.4,1.1,0.0,0.0,0.0,0.1,34.9
Jamal Agnew,JAC,13.4,154.7,0.8,6.2,33.9,0.2,0.1,31.4
Dede Westbrook,MIN,14.5,155.5,1.2,0.7,3.6,0.0,0.1,30.4
Ty Montgomery,NO,13.2,138.0,0.9,8.5,39.1,0.1,0.1,29.8
Cameron Batson,TEN,10.6,120.7,0.9,2.5,14.9,0.1,0.1,24.6
Greg Ward,PHI,13.7,136.7,0.7,0.0,0.0,0.0,0.1,24.3
Ihmir Smith-Marsette,MIN,10.2,133.3,0.9,0.0,0.0,0.0,0.1,23.7
Christian Blake,ATL,12.4,145.1,0.5,0.0,0.0,0.0,0.1,23.5
Ray-Ray McCloud,PIT,11.3,113.1,0.7,3.0,19.2,0.1,0.2,22.9
Albert Wilson,MIA,10.1,108.6,0.6,4.6,26.1,0.1,0.1,22.8
Trinity Benson,DET,11.0,136.6,0.6,0.0,0.0,0.0,0.1,22.7
Tavon Austin,JAC,11.2,131.1,0.7,0.0,0.0,0.0,0.1,22.6
Miles Boykin,BAL,9.1,123.4,0.7,0.8,4.9,0.0,0.1,21.7
Cedrick Wilson,DAL,9.7,126.7,0.7,0.0,0.0,0.0,0.1,21.4
Penny Hart,SEA,9.0,104.2,0.8,1.3,6.7,0.0,0.0,20.2
Tyler Johnson,TB,8.7,110.2,0.8,0.0,0.0,0.0,0.1,20.2
Andy Isabella,ARI,9.2,114.8,0.6,0.0,0.0,0.0,0.0,19.8
Jeff Smith,NYJ,9.6,107.1,0.6,0.0,0.0,0.0,0.0,19.2
Andre Roberts,HOU,8.9,110.6,0.5,0.0,0.0,0.0,0.1,18.6
Noah Brown,DAL,8.6,105.9,0.6,0.0,0.0,0.0,0.1,18.6
KeeSean Johnson,ARI,7.8,90.2,0.8,0.0,0.0,0.0,0.0,17.4
Cam Sims,WAS,7.6,102.8,0.5,0.7,3.7,0.0,0.0,17.4
Jalen Hurd,SF,5.6,70.7,0.4,4.7,28.9,0.2,0.1,16.3
Nick Westbrook-Ikhine,TEN,6.9,90.6,0.6,0.0,0.0,0.0,0.0,15.9
Anthony Schwartz,CLE,7.1,86.7,0.6,0.0,0.0,0.0,0.0,15.6
Frank Darby,ATL,7.2,90.5,0.5,0.0,0.0,0.0,0.0,15.3
Tom Kennedy,DET,7.3,91.1,0.4,0.0,0.0,0.0,0.0,15.1
DaeSean Hamilton,DEN,7.3,75.2,0.5,0.0,0.0,0.0,0.0,14.1
Lil'Jordan Humphrey,NO,5.4,71.7,0.4,0.0,0.0,0.0,0.0,12.4
Trent Sherfield,SF,5.0,66.3,0.4,0.0,0.0,0.0,0.1,11.4
John Ross,NYG,4.3,56.8,0.5,0.7,3.9,0.0,0.1,11.3
Zay Jones,LV,4.9,57.1,0.5,0.0,0.0,0.0,0.0,11.0
Diontae Spencer,DEN,4.5,50.5,0.3,2.4,13.6,0.1,0.0,10.8
Jakeem Grant Sr.,MIA,4.5,48.8,0.3,2.5,14.3,0.1,0.0,10.7
Shi Smith,CAR,5.1,62.6,0.3,0.0,0.0,0.0,0.0,10.4
Tajae Sharpe,ATL,4.6,58.2,0.4,0.0,0.0,0.0,0.0,10.2
Victor Bolden Jr.,DET,5.3,56.2,0.3,0.0,0.0,0.0,0.0,10.2
Antonio Gandy-Golden,WAS,4.2,57.2,0.3,0.0,0.0,0.0,0.0,9.9
J.J. Arcega-Whiteside,PHI,4.0,58.1,0.3,0.0,0.0,0.0,0.0,9.8
Daurice Fountain,KC,4.1,52.2,0.4,0.0,0.0,0.0,0.0,9.5
Gunner Olszewski,NE,3.7,46.3,0.2,1.7,9.0,0.1,0.0,9.1
K.J. Hill Jr.,LAC,4.4,52.5,0.3,0.0,0.0,0.0,0.1,9.0
Jaelon Darden,TB,4.2,47.9,0.3,0.0,0.0,0.0,0.0,8.7
Marquez Stevenson,BUF,3.7,46.6,0.3,0.0,0.0,0.0,0.0,8.4
Tylan Wallace,BAL,3.5,45.6,0.3,0.0,0.0,0.0,0.0,8.3
Greg Dortch,ARI,4.1,46.9,0.3,0.0,0.0,0.0,0.0,8.3
Chester Rogers,TEN,3.9,38.0,0.3,0.0,0.0,0.0,0.0,7.7
Trent Taylor,CIN,3.9,39.7,0.2,0.0,0.0,0.0,0.0,7.4
Mike Strachan,IND,2.9,37.4,0.2,0.0,0.0,0.0,0.0,6.4
Marcus Johnson,TEN,2.5,32.9,0.2,0.0,0.0,0.0,0.0,6.0
Malik Taylor,GB,2.4,30.5,0.3,0.0,0.0,0.0,0.0,5.8
Braxton Berrios,NYJ,2.4,28.1,0.1,1.0,5.8,0.0,0.0,5.5
K.J. Osborn,MIN,2.3,29.5,0.2,0.0,0.0,0.0,0.0,5.1
Stanley Morgan Jr.,CIN,2.3,27.0,0.1,0.0,0.0,0.0,0.0,4.6
Isaac Whitney,ARI,2.1,24.1,0.2,0.0,0.0,0.0,0.0,4.5
Simi Fehoko,DAL,2.0,25.2,0.2,0.0,0.0,0.0,0.0,4.4
Terry Godwin,JAC,2.0,22.5,0.2,0.0,0.0,0.0,0.0,4.3
Ben Skowronek,LAR,1.9,24.5,0.1,0.0,0.0,0.0,0.0,4.1
Dezmon Patmon,IND,1.8,22.9,0.1,0.0,0.0,0.0,0.0,3.9
Juwan Johnson,NO,1.7,21.4,0.1,0.0,0.0,0.0,0.0,3.6
Allen Hurns,MIA,1.6,16.7,0.2,0.0,0.0,0.0,0.0,3.5
Racey McMath,TEN,1.5,19.3,0.1,0.0,0.0,0.0,0.0,3.5
Equanimeous St. Brown,GB,1.3,17.1,0.2,0.0,0.0,0.0,0.0,3.4
Travis Benjamin,SF,1.2,17.3,0.2,0.0,0.0,0.0,0.0,3.3
Malik Turner,DAL,1.5,19.0,0.1,0.0,0.0,0.0,0.0,3.1
DeAndre Carter,WAS,1.5,17.6,0.1,0.0,0.0,0.0,0.0,2.8
Malcolm Perry,NE,0.9,9.1,0.0,1.8,9.4,0.1,0.0,2.7
Isaiah Ford,MIA,1.6,15.0,0.1,0.0,0.0,0.0,0.0,2.6
Kendall Hinton,DEN,1.1,12.1,0.0,1.2,6.4,0.0,0.0,2.5
Brandon Zylstra,CAR,1.2,15.2,0.1,0.0,0.0,0.0,0.0,2.4
Joe Reed,LAC,0.8,9.4,0.0,0.9,4.8,0.0,0.0,1.8
Matt Cole,NYG,0.9,9.5,0.0,0.9,4.3,0.0,0.0,1.8
DeMichael Harris,IND,0.7,8.1,0.0,0.9,4.7,0.0,0.0,1.6
Kelvin Harmon,WAS,0.8,10.6,0.0,0.0,0.0,0.0,0.0,1.5
