player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Davante Adams,GB,112.6,1339.0,11.0,0.0,0.0,0.0,1.0,332.9
Tyreek Hill,KC,93.0,1296.0,10.0,9.5,51.9,0.4,1.0,315.4
Stefon Diggs,BUF,100.0,1343.0,8.0,0.0,0.0,0.0,2.0,298.4
DeAndre Hopkins,ARI,100.6,1368.4,7.0,0.0,0.0,0.0,2.0,296.5
Calvin Ridley,ATL,93.7,1335.6,7.6,4.0,23.0,0.0,1.0,281.9
Justin Jefferson,MIN,88.9,1256.8,7.0,0.0,0.0,0.0,1.0,265.0
A.J. Brown,TEN,72.0,1156.0,9.0,0.0,0.0,0.0,1.0,256.2
D.K. Metcalf,SEA,81.0,1188.2,8.1,0.0,0.0,0.0,2.0,254.1
Keenan Allen,LAC,86.3,952.8,6.6,0.0,0.0,0.0,1.0,243.0
Allen Robinson II,CHI,94.3,1169.2,5.6,0.0,0.0,0.0,1.0,247.8
Robert Woods,LAR,88.7,961.0,5.0,11.7,60.1,0.5,1.0,231.0
Amari Cooper,DAL,84.0,1057.3,6.5,0.0,0.0,0.0,1.0,236.8
Tyler Lockett,SEA,85.0,1046.0,7.6,0.0,-1.0,0.0,1.0,244.6
Cooper Kupp,LAR,80.0,1011.0,5.5,3.0,21.0,0.0,1.0,237.2
Terry McLaurin,WAS,76.0,999.1,5.2,0.0,0.0,0.0,1.0,220.0
CeeDee Lamb,DAL,80.0,1002.0,6.0,0.0,0.0,0.0,1.0,234.6
Diontae Johnson,PIT,88.0,964.3,5.7,3.7,19.7,0.0,2.0,233.2
Julio Jones,TEN,69.0,981.0,6.0,0.0,-2.0,0.0,1.0,214.0
Adam Thielen,MIN,74.0,935.0,7.8,0.0,0.0,0.0,1.0,232.0
Mike Evans,TB,64.6,1020.0,6.9,0.0,0.0,0.0,1.0,220.9
D.J. Moore,CAR,76.0,1088.0,4.6,0.0,0.0,0.0,1.0,220.1
Chris Godwin,TB,71.6,965.0,6.7,0.0,0.0,0.0,1.0,223.7
Brandin Cooks,HOU,73.0,1020.0,4.4,0.0,0.0,0.0,1.0,211.6
Tee Higgins,CIN,75.0,999.9,5.7,0.0,0.0,0.0,1.0,217.6
JuJu Smith-Schuster,PIT,80.0,842.0,6.1,0.0,0.0,0.0,1.0,213.5
Brandon Aiyuk,SF,65.0,839.0,5.9,7.8,40.4,0.3,1.0,204.0
Odell Beckham Jr.,CLE,62.0,890.3,5.0,0.0,0.0,0.0,1.0,204.9
Kenny Golladay,NYG,59.0,891.0,5.0,0.0,0.0,0.0,1.0,189.4
Deebo Samuel,SF,69.0,827.4,4.0,6.7,34.3,0.0,1.0,197.5
Robby Anderson,CAR,75.0,938.7,4.7,0.0,0.0,0.0,1.0,208.0
