name,team,rushing_att,rushing_yds,rushing_tds,receiving_rec,receiving_yds,receiving_tds,fumbles_lost,FPTS
Antonio Brown,PIT,3.2,17.8,0.0,109.9,1414.7,10.1,0.8,312.4
Julio Jones,ATL,0.0,0.3,0.0,98.5,1491.8,9.1,0.4,301.3
Odell Beckham Jr.,NYG,0.5,3.3,0.0,98.4,1345.0,9.8,1.0,290.2
Jordy Nelson,GB,0.0,0.0,0.0,91.8,1232.9,10.7,1.3,276.6
Mike Evans,TB,0.0,0.0,0.0,89.9,1286.6,9.3,0.3,273.8
A.J. Green,CIN,0.0,0.0,0.0,89.5,1260.8,7.9,0.5,262.1
Michael Thomas,NO,0.0,0.0,0.0,94.6,1191.8,8.1,0.3,261.9
Doug Baldwin,SEA,2.7,15.2,0.2,87.6,1099.9,8.2,0.2,248.7
T.Y. Hilton,IND,0.0,0.0,0.0,81.9,1238.7,6.8,0.3,246.1
Amari Cooper,OAK,2.0,10.7,0.0,83.7,1155.9,6.7,0.4,240.1
DeAndre Hopkins,HOU,0.0,0.0,0.0,82.6,1092.9,5.9,0.3,226.5
Dez Bryant,DAL,0.0,0.0,0.0,71.7,1059.1,8.7,1.6,226.5
Michael Crabtree,OAK,0.0,0.0,0.0,83.8,980.9,7.3,0.3,225.2
Larry Fitzgerald,ARI,0.2,0.4,0.0,92.3,992.3,6.0,1.6,224.5
Demaryius Thomas,DEN,0.0,0.3,0.0,84.9,1072.9,6.2,2.8,224.1
Golden Tate,DET,6.8,32.7,0.1,89.3,1005.6,5.3,1.5,222.7
Allen Robinson,JAC,0.0,0.0,0.0,76.4,1029.0,7.1,0.4,221.1
Brandin Cooks,NE,3.7,21.1,0.1,73.3,1014.2,6.7,0.3,216.5
Jarvis Landry,MIA,3.6,19.2,0.0,87.6,1003.3,5.0,2.1,215.7
Alshon Jeffery,PHI,0.3,2.7,0.0,74.5,1024.9,5.9,0.3,212.2
Stefon Diggs,MIN,2.1,13.6,0.0,85.3,974.8,4.7,0.3,212.2
Emmanuel Sanders,DEN,0.7,3.6,0.0,75.2,1011.4,5.5,0.7,208.3
Keenan Allen,LAC,0.1,1.2,0.0,82.0,950.9,5.8,3.1,206.0
Davante Adams,GB,0.4,2.1,0.0,70.5,899.1,7.2,1.0,202.0
Tyreek Hill,KC,25.4,159.5,1.3,71.8,775.2,5.2,1.5,201.6
Terrelle Pryor,WAS,1.9,11.3,0.0,69.0,987.6,5.5,0.4,201.6
Kelvin Benjamin,CAR,0.0,-0.2,0.0,68.1,966.1,6.6,1.4,201.5
Julian Edelman,NE,6.1,39.1,0.1,80.8,903.6,5.0,2.6,200.6
Willie Snead,NO,0.0,0.0,0.0,73.0,944.8,5.4,0.8,198.3
Jamison Crowder,WAS,2.5,11.8,0.0,74.1,911.6,5.1,1.5,194.5
Sammy Watkins,LAR,0.1,-0.1,0.0,65.8,963.5,5.4,0.3,193.7
Randall Cobb,GB,5.3,36.1,0.1,73.9,816.4,5.7,0.3,193.5
Pierre Garcon,SF,0.0,0.0,0.0,74.0,909.6,4.6,0.4,191.6
Jeremy Maclin,BAL,1.0,6.1,0.0,71.8,855.1,4.3,0.3,183.2
